Edge1-Edge2	KappaScore
GO:0000725 (term-term) GO:0000724	0.7102977667493784
GO:0000725 (term-term-ontology) GO:0000724	2.0
GO:0004529 (term-term) GO:0000724	0.4543481889500938
GO:0004529 (term-term) GO:0004527	0.6588750913075233
GO:0004529 (term-term-ontology) GO:0004527	2.0
GO:0006302 (term-term) GO:0000724	0.7102977667493784
GO:0006302 (term-term) GO:0000725	0.5468219311014064
GO:0006302 (term-term) GO:0004529	0.4608082103912778
GO:0006302 (term-term-ontology) GO:0000724	2.0
GO:0006310 (term-term) GO:0000725	0.4851157662624041
GO:0006310 (term-term) GO:0006302	0.4279064069582263
GO:0006310 (term-term-ontology) GO:0000725	2.0
GO:0009060 (term-term) GO:0006091	0.5932711848004902
GO:0015453 (term-term) GO:0006091	0.41726977788869474
GO:0015453 (term-term) GO:0008137	0.8767484824491938
GO:0015453 (term-term) GO:0009060	0.42331439861694337
GO:0015453 (term-term-ontology) GO:0008137	2.0
GO:0016043 (term-term-ontology) GO:0006996	2.0
GO:0016796 (term-term) GO:0000724	0.42059553349875994
GO:0016796 (term-term) GO:0004527	0.712918240098358
GO:0016796 (term-term) GO:0004529	0.8202694034637582
GO:0016796 (term-term) GO:0006302	0.4335274138767573
GO:0016796 (term-term-ontology) GO:0004527	2.0
GO:0022607 (term-term) GO:0016043	0.54743189404544
GO:0022607 (term-term-ontology) GO:0016043	2.0
GO:0032508 (term-term) GO:0000724	0.4357177380376988
GO:0032508 (term-term) GO:0000725	0.5348605577689243
GO:0032508 (term-term) GO:0006302	0.4418326693227099
GO:0032508 (term-term) GO:0006310	0.4804761375013907
GO:0032508 (term-term) GO:0006996	0.6538176426982947
GO:0042546 (term-term) GO:0016043	0.4785708150820232
GO:0042546 (term-term) GO:0022607	0.47701643357553947
GO:0044085 (term-term) GO:0016043	0.6151238551369171
GO:0044085 (term-term) GO:0022607	0.6911046151876585
GO:0044085 (term-term) GO:0042546	0.7935870133001164
GO:0044085 (term-term-ontology) GO:0022607	2.0
GO:0044085 (term-term-ontology) GO:0042546	2.0
GO:0044255 (term-term) GO:0008610	0.7831543992458032
GO:0051276 (term-term) GO:0000725	0.41322443851107316
GO:0051276 (term-term) GO:0006310	0.4064333202972245
GO:0051276 (term-term) GO:0006996	0.8367703600139812
GO:0051276 (term-term) GO:0032508	0.8060899653979241
GO:0051276 (term-term-ontology) GO:0006996	2.0
GO:0071103 (term-term) GO:0000725	0.4476174383237579
GO:0071103 (term-term) GO:0006310	0.4290371879775866
GO:0071103 (term-term) GO:0006996	0.7810595405532124
GO:0071103 (term-term) GO:0032508	0.8623231132075466
GO:0071103 (term-term) GO:0051276	0.9422244216256336
GO:0071103 (term-term-ontology) GO:0051276	2.0
GO:0071702 (term-term) GO:0006810	0.5518890171906257
GO:0071702 (term-term-ontology) GO:0006810	2.0
GO:0071702 (term-term-ontology) GO:0015695	2.0
GO:0071702 (term-term-ontology) GO:0015833	2.0
GO:0071766 (term-term) GO:0022607	0.5991662068542699
GO:0071766 (term-term) GO:0042546	0.8064649813510153
GO:0071766 (term-term) GO:0044085	0.6154154332391104
GO:0071770 (term-term) GO:0022607	0.6117451439800469
GO:0071770 (term-term) GO:0042546	0.522573623981796
GO:0071770 (term-term) GO:0071766	0.6872069658405889
GO:0071770 (term-term-ontology) GO:0022607	2.0
GO:0071770 (term-term-ontology) GO:0071766	2.0
GO:0097041 (term-term-ontology) GO:0008610	2.0
GO:1901264 (term-term) GO:0015695	0.4608082103912778
GO:1901264 (term-term-ontology) GO:0071702	2.0
