Edge1-Edge2	KappaScore
GO:0006811 (term-term) GO:0006810	0.5113524185587364
GO:0006811 (term-term-ontology) GO:0006810	2.0
GO:0008137 (term-term) GO:0006091	0.41009463722397466
GO:0015399 (term-term) GO:0006810	0.4065934065934065
GO:0015399 (term-term) GO:0008137	0.9433962264150944
GO:0015980 (term-term) GO:0006091	0.6676737160120847
GO:0015980 (term-term) GO:0006099	0.5689404934687954
GO:0015980 (term-term-ontology) GO:0006091	2.0
GO:0015990 (term-term) GO:0008137	0.421052631578947
GO:0019541 (term-term) GO:0006099	0.4560439560439555
GO:0019877 (term-term) GO:0009088	0.6507936507936504
GO:0022804 (term-term) GO:0006810	0.4767096134786918
GO:0022804 (term-term) GO:0008137	0.8426073131955483
GO:0022804 (term-term) GO:0015399	0.8983050847457624
GO:0022804 (term-term-ontology) GO:0015399	2.0
GO:0022857 (term-term) GO:0006810	0.7135969141755061
GO:0022857 (term-term) GO:0006811	0.45130641330166255
GO:0022857 (term-term) GO:0008137	0.5822784810126582
GO:0022857 (term-term) GO:0015399	0.6301369863013698
GO:0022857 (term-term) GO:0022804	0.7213510253317251
GO:0022857 (term-term-ontology) GO:0022804	2.0
GO:0042773 (term-term) GO:0008137	0.5308056872037916
GO:0042773 (term-term) GO:0015399	0.4878048780487809
GO:0042773 (term-term) GO:0015990	0.5479452054794517
GO:0042773 (term-term) GO:0022804	0.41650294695481294
GO:0055085 (term-term) GO:0006810	0.8433048433048432
GO:0055085 (term-term) GO:0006811	0.4967320261437908
GO:0055085 (term-term) GO:0008137	0.4761904761904761
GO:0055085 (term-term) GO:0015399	0.5185185185185185
GO:0055085 (term-term) GO:0022804	0.6006600660066005
GO:0055085 (term-term) GO:0022857	0.8641975308641976
GO:0055085 (term-term-ontology) GO:0006810	2.0
GO:0055085 (term-term-ontology) GO:0022857	2.0
