Edge1-Edge2	KappaScore
GO:0006351 (term-term) GO:0003700	0.6862125453067963
GO:0006351 (term-term) GO:0006139	0.508277242132072
GO:0006355 (term-term) GO:0003700	0.7009091859128437
GO:0006355 (term-term) GO:0006139	0.4960773107497272
GO:0006355 (term-term) GO:0006351	0.9837812106855867
GO:0006355 (term-term-ontology) GO:0006351	2.0
GO:0009059 (term-term) GO:0003700	0.451228531514504
GO:0009059 (term-term) GO:0006139	0.42521087651280987
GO:0009059 (term-term) GO:0006351	0.7161351375081705
GO:0009059 (term-term) GO:0006355	0.7012915851272016
GO:0009267 (term-term) GO:0006879	0.5673016537575886
GO:0009408 (term-term) GO:0009266	0.9264229523368818
GO:0009408 (term-term-ontology) GO:0009266	2.0
GO:0010038 (term-term) GO:0010035	0.596651445966515
GO:0010038 (term-term-ontology) GO:0010035	2.0
GO:0010106 (term-term) GO:0006879	0.8539944903581266
GO:0010106 (term-term) GO:0009267	0.6334716459197786
GO:0010106 (term-term-ontology) GO:0006879	2.0
GO:0010106 (term-term-ontology) GO:0009267	2.0
GO:0010447 (term-term) GO:0009268	0.9145314459774222
GO:0010447 (term-term-ontology) GO:0009268	2.0
GO:0010467 (term-term) GO:0003700	0.43318362167932173
GO:0010467 (term-term) GO:0006139	0.4581061241610738
GO:0010467 (term-term) GO:0006351	0.6922313922246511
GO:0010467 (term-term) GO:0006355	0.677621796976075
GO:0010467 (term-term) GO:0009059	0.7642719868216346
GO:0010468 (term-term) GO:0003700	0.5847391826074679
GO:0010468 (term-term) GO:0006139	0.4612136377854237
GO:0010468 (term-term) GO:0006351	0.8528858118240116
GO:0010468 (term-term) GO:0006355	0.8673554514535069
GO:0010468 (term-term) GO:0009059	0.6905729494591035
GO:0010468 (term-term) GO:0010467	0.8017905711695374
GO:0010468 (term-term-ontology) GO:0006355	2.0
GO:0010468 (term-term-ontology) GO:0010467	2.0
GO:0010557 (term-term-ontology) GO:0009059	2.0
GO:0010604 (term-term) GO:0010557	0.9523524123464193
GO:0010604 (term-term-ontology) GO:0010557	2.0
GO:0010605 (term-term) GO:0009892	0.9604160327515145
GO:0010605 (term-term-ontology) GO:0009892	2.0
GO:0016070 (term-term) GO:0003700	0.4895775371313616
GO:0016070 (term-term) GO:0006139	0.7088978396191871
GO:0016070 (term-term) GO:0006351	0.7658649463571979
GO:0016070 (term-term) GO:0006355	0.7505932510155653
GO:0016070 (term-term) GO:0009059	0.6004727692364964
GO:0016070 (term-term) GO:0010467	0.7178610376887671
GO:0016070 (term-term) GO:0010468	0.7213296722556524
GO:0018130 (term-term) GO:0003700	0.5134628250545641
GO:0018130 (term-term) GO:0006139	0.613603700122815
GO:0018130 (term-term) GO:0006351	0.7961248041031487
