"RV" "Gene" "LogFC_with_Fe" "Fdr_with_Fe" "LogFC_without_Fe" "Fdr_without_Fe" "LogFC_Interaction" "Fdr_Interaction" "Int"
"Rv3145" "Rv3145" "nuoA" -2.58711271156704 4.64645531037984e-47 -4.31474423039126 7.51280953622719e-50 -1.52227882390542 6.00708196117173e-06 "Down"
"Rv3146" "Rv3146" "nuoB" -2.13479672121046 2.38521689644022e-33 -4.46849764206256 6.67217705845659e-35 -2.11873178470591 9.6193245256082e-08 "Down"
"Rv3147" "Rv3147" "nuoC" -2.2887707416623 2.24942778823898e-38 -4.22282618967852 2.99991259581397e-43 -1.72841277606245 6.63568173265894e-07 "Down"
"Rv3148" "Rv3148" "nuoD" -2.69456009151178 5.48159155580218e-52 -4.26715445127045 1.75612789836736e-75 -1.40570381421162 1.59961445050901e-06 "Down"
"Rv3149" "Rv3149" "nuoE" -2.54394505860469 5.07936781659958e-40 -4.49765448425748 3.0810882662266e-45 -1.71668475945785 2.2224213014325e-06 "Down"
"Rv3150" "Rv3150" "nuoF" -2.6134792412656 1.39265841110892e-57 -4.20293856458401 1.27542788401815e-62 -1.42799630092027 1.91401765515646e-06 "Down"
"Rv3151" "Rv3151" "nuoG" -2.347339561433 1.84000049219299e-16 -4.09131748934825 1.44241775448161e-40 -1.35705866701778 0.000584279802653816 "Down"
"Rv3152" "Rv3152" "nuoH" -2.67356489557678 2.2500776035073e-62 -4.25734781267963 1.85603877330429e-91 -1.4482014185026 5.68733115756597e-08 "Down"
"Rv3153" "Rv3153" "nuoI" -2.91001476417131 2.7006408890323e-58 -4.62526422060159 1.55466188826404e-56 -1.50391813012027 8.4534296169068e-06 "Down"
"Rv3154" "Rv3154" "nuoJ" -1.74955716272793 3.7626404764257e-27 -3.93512257580953 4.17196429832769e-52 -2.04486159662183 1.9378043535066e-11 "Down"
"Rv3155" "Rv3155" "nuoK" -2.40357286882909 8.13422239269163e-09 -3.72944111482862 1.21862253555331e-07 -0.51259276055271 0.221316129540497 "N.S."
"Rv3156" "Rv3156" "nuoL" -2.81723730647418 1.54980313961411e-79 -4.38834259717044 5.8026416476065e-128 -1.45904088133563 9.93984045258176e-10 "Down"
"Rv3157" "Rv3157" "nuoM" -2.69358839272228 3.59906297652529e-61 -4.24259224005844 3.34807203243617e-96 -1.41347590699718 8.62789136694851e-08 "Down"
"Rv3158" "Rv3158" "nuoN" -2.31747359947222 9.76746849856345e-55 -3.06250409465994 6.59306584976361e-71 -0.62034741218265 0.00851854633452974 "Down"
