Edge1-Edge2	KappaScore
GO:0006099 (term-term) GO:0006091	0.43450815360336725
GO:0006302 (term-term) GO:0000724	0.6619217081850538
GO:0006302 (term-term-ontology) GO:0000724	2.0
GO:0006740 (term-term-ontology) GO:0006091	2.0
GO:0006817 (term-term) GO:0005315	0.7737017627441627
GO:0009060 (term-term) GO:0006091	0.6044563324837868
GO:0009060 (term-term) GO:0006099	0.7810858143607711
GO:0009060 (term-term-ontology) GO:0006099	2.0
GO:0009066 (term-term) GO:0006553	0.5325723282818343
GO:0009066 (term-term-ontology) GO:0006553	2.0
GO:0009066 (term-term-ontology) GO:0006566	2.0
GO:0009067 (term-term) GO:0006553	0.605612753238126
GO:0009067 (term-term) GO:0006566	0.4240276093647979
GO:0009067 (term-term) GO:0009066	0.8218018114582772
GO:0009067 (term-term-ontology) GO:0009066	2.0
GO:0015399 (term-term) GO:0008137	0.4703543898773454
GO:0015453 (term-term) GO:0008137	0.8768047030344955
GO:0015453 (term-term) GO:0015399	0.5651775906261445
GO:0015453 (term-term-ontology) GO:0008137	2.0
GO:0015453 (term-term-ontology) GO:0015399	2.0
GO:0015980 (term-term) GO:0006091	0.7065532481110105
GO:0015980 (term-term) GO:0006099	0.6738296239447435
GO:0015980 (term-term) GO:0009060	0.8844964741028936
GO:0015980 (term-term-ontology) GO:0006091	2.0
GO:0016043 (term-term-ontology) GO:0006996	2.0
GO:0016051 (term-term) GO:0005975	0.510939510939511
GO:0016051 (term-term-ontology) GO:0005975	2.0
GO:0016796 (term-term) GO:0004527	0.7630922693266823
GO:0016796 (term-term-ontology) GO:0004527	2.0
GO:0016895 (term-term) GO:0000724	0.4937833037300173
GO:0016895 (term-term) GO:0004527	0.6005046257359133
GO:0016895 (term-term) GO:0006302	0.4612476370510408
GO:0016895 (term-term) GO:0016796	0.8204158790170141
GO:0016895 (term-term-ontology) GO:0016796	2.0
GO:0019752 (term-term) GO:0006082	0.9726618705035971
GO:0022607 (term-term) GO:0016043	0.5808647422160593
GO:0022607 (term-term-ontology) GO:0016043	2.0
GO:0022804 (term-term) GO:0006810	0.45106231665036894
GO:0022804 (term-term) GO:0015399	0.8729606846750471
GO:0022804 (term-term) GO:0015453	0.46755053921379125
GO:0022804 (term-term-ontology) GO:0015399	2.0
GO:0032508 (term-term) GO:0000724	0.41193021947101993
GO:0032508 (term-term) GO:0006302	0.4019784172661866
GO:0032508 (term-term) GO:0006996	0.7068723702664792
GO:0043436 (term-term) GO:0006082	0.9909307875894989
GO:0043436 (term-term) GO:0019752	0.9817265522812958
GO:0043436 (term-term-ontology) GO:0006082	2.0
GO:0043436 (term-term-ontology) GO:0019752	2.0
GO:0043648 (term-term) GO:0006553	0.4281930901649215
GO:0043648 (term-term-ontology) GO:0019752	2.0
GO:0044262 (term-term) GO:0005975	0.7061325496867994
GO:0044262 (term-term) GO:0016051	0.6010797840431914
GO:0044262 (term-term-ontology) GO:0005975	2.0
GO:0044264 (term-term) GO:0005975	0.41142676909906045
GO:0044264 (term-term) GO:0016051	0.740491699936962
GO:0044264 (term-term) GO:0044262	0.6436609152288071
GO:0044264 (term-term-ontology) GO:0044262	2.0
GO:0045333 (term-term) GO:0006091	0.6497222358782755
GO:0045333 (term-term) GO:0006099	0.7316267547481419
GO:0045333 (term-term) GO:0009060	0.947453814668682
GO:0045333 (term-term) GO:0015980	0.9366582210961466
GO:0045333 (term-term-ontology) GO:0009060	2.0
GO:0045333 (term-term-ontology) GO:0015980	2.0
GO:0051276 (term-term) GO:0006996	0.8297055057618441
GO:0051276 (term-term) GO:0032508	0.8707131192161125
GO:0051276 (term-term-ontology) GO:0006996	2.0
GO:0055085 (term-term) GO:0006810	0.8765088207985143
GO:0055085 (term-term) GO:0015399	0.4485488126649076
GO:0055085 (term-term) GO:0022804	0.5436156763590392
GO:0055085 (term-term-ontology) GO:0006810	2.0
GO:0071702 (term-term) GO:0006810	0.5035708064797074
GO:0071702 (term-term-ontology) GO:0006810	2.0
GO:0071702 (term-term-ontology) GO:0015695	2.0
GO:0071702 (term-term-ontology) GO:0015833	2.0
GO:0071766 (term-term) GO:0022607	0.6285043917699432
GO:0071770 (term-term) GO:0022607	0.6236946344976597
GO:0071770 (term-term) GO:0071766	0.7262247838616714
GO:0071770 (term-term-ontology) GO:0022607	2.0
GO:0071770 (term-term-ontology) GO:0071766	2.0
