Edge1-Edge2	KappaScore
GO:0006096 (term-term) GO:0006090	0.8786127167630061
GO:0006096 (term-term-ontology) GO:0006090	2.0
GO:0015980 (term-term) GO:0006091	0.6787681011625537
GO:0015980 (term-term) GO:0006099	0.6370967741935482
GO:0015980 (term-term-ontology) GO:0006091	2.0
GO:0016052 (term-term) GO:0006090	0.7789473684210519
GO:0016052 (term-term) GO:0006096	0.8786127167630061
GO:0016052 (term-term-ontology) GO:0006096	2.0
GO:0016310 (term-term) GO:0006090	0.47587354409317806
GO:0016310 (term-term) GO:0006096	0.4544509871839283
GO:0016310 (term-term) GO:0016052	0.40599001663893475
GO:0019679 (term-term) GO:0019541	0.6534653465346533
GO:0019679 (term-term-ontology) GO:0019541	2.0
GO:0019752 (term-term) GO:0006082	0.9385365853658538
GO:0045333 (term-term) GO:0006091	0.5853252961962171
GO:0045333 (term-term) GO:0006099	0.734513274336283
GO:0045333 (term-term) GO:0015980	0.8921971252566736
GO:0045333 (term-term-ontology) GO:0015980	2.0
GO:0051098 (term-term) GO:0043085	1.0
GO:0051100 (term-term) GO:0043085	0.7407407407407405
GO:0051100 (term-term) GO:0051098	0.7407407407407405
GO:0051100 (term-term-ontology) GO:0051098	2.0
