"C5_Fe_NO_1" "C5_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"Rvns01" -3.18249638778309 -3.50672784388839 -2.72644133535592 -2.72079521349959 3.1635603292081 3.52566390246338 2.96774736245903 2.47948918639648
"Rvnr02" -2.58925402583618 -3.05021629919628 -2.54947099730647 -2.03516624518753 2.5616355082275 3.07783481680496 2.2433285038783 2.3413087386157
"RVnc0021" -1.25735836336683 -0.684343113646472 -0.697595146136883 0.0866605539020568 0.878732173919465 1.06296930309384 0.18765787090654 0.423276721328286
"RVnc0024" -3.00787565557909 -2.97787651796933 -1.57134017003312 -1.65676237538982 2.91935779446671 3.0663943790817 1.64596414289512 1.58213840252782
"RVnc0046" -3.02466015420391 -3.26497010197462 -2.96316553398483 -2.67452253075632 2.93591773201159 3.35371252416694 2.84611258956202 2.79157547517913
"Rv0049" -0.7214984021111 -0.655732791889679 -0.199601017060644 -0.0811621348763207 0.522424267692422 0.854806926308359 0.187332683620916 0.0934304683160478
"Rv0064A" -2.15699711900323 -1.89858319534633 -0.917948648957637 -1.13160843762126 2.1886347987393 1.86694551561026 1.00410764265798 1.04544944392092
"Rv0064" -1.44170739059444 -1.79551126590857 -1.21493177993447 -0.950051244215314 1.72063208879023 1.51658656771278 1.2058613020324 0.959121722117375
"Rv0065" -1.97565319416458 -2.13224872116173 -1.07385694054338 -1.26572051300711 2.12182855483013 1.98607336049618 1.21074646309181 1.12883099045868
"Rv0079" -2.72882379559594 -2.85211942475386 -2.20693657477552 -1.89900961030941 3.05976098260787 2.52118223774193 2.00820623002297 2.09773995506196
"Rv0082" -2.23399742402452 -1.71420642434065 -1.68813449225239 -1.05904393253933 2.1583781626445 1.78982568572067 1.29332363415937 1.45385479063235
"Rv0084" -1.75440361713261 -1.54505903407987 -1.51186037964564 -0.801126672171437 1.80273240580363 1.49673024540886 1.09109490056076 1.22189215125631
"Rv0086" -1.39256295446303 -1.28083846781668 -1.13832456141841 -0.533091605717931 1.6619730896713 1.01142833260841 0.87008092785713 0.801335239279211
"Rv0112" -1.03573661067751 -1.47891991124669 -0.922674920935026 -0.584012004528343 1.27051837512801 1.24413814679619 0.947051463715808 0.559635461747563
"Rv0131c" -0.789846081838269 -1.13932321143438 -0.530195180525567 -0.279792444022175 1.31212479781416 0.617044495458494 0.429993067411613 0.379994557136129
"Rv0132c" -1.74110358297148 -1.77309978533241 -0.700594707647997 -0.593878158112332 2.10313055068902 1.41107281761487 0.515568671456119 0.778904194304212
"Rv0135c" -1.65445213827314 -2.20404624131737 -1.48579074308478 -1.39284762464461 2.07840404202714 1.78009433756336 1.66583171899495 1.21280664873444
"Rv0136" -2.11962406642663 -2.40581198359396 -1.91556467266087 -1.4570520052577 2.49045241788281 2.03498363213778 1.84165663852243 1.53096003939615
"Rv0140" -1.34042273856104 -1.72869153855666 -0.94854951539585 -0.670321662807584 1.55397572613553 1.51513855098217 1.03203642059752 0.586834757605919
"Rv0160c" -1.20566125375264 -1.27391645797434 -0.408346349155598 -0.523740841768621 1.13120045436216 1.34837725736482 0.988359306385565 -0.0562721154613457
"Rv0186A" -3.46318086760988 -3.75716837864329 -1.83383167362424 -1.68497792204082 3.17321260356864 4.04713664268453 1.95097113556647 1.56783846009859
"Rv0190" -1.56144183923352 -1.81377508216035 -0.701045939222933 -0.459487768097102 1.78348374065359 1.59173318074028 0.647642771450209 0.512890935869827
"Rv0207c" -0.96965103701902 -1.26459389692346 -0.683601232088111 -0.537028207925145 0.976005371329668 1.25823956261281 0.722930379687924 0.49769906032533
"Rv0208c" -1.89182235111874 -2.14567467269051 -1.6101891248144 -1.36711165821633 1.88275449587686 2.15474252793239 1.70046651959414 1.27683426343659
"Rv0232" -1.69069854496844 -1.95005337692362 -1.00649803972108 -0.886443412160027 1.76195212744812 1.87879979444394 1.10711573271167 0.785825719169431
"Rv0233" -1.55207209071798 -1.99663774864328 -1.04928986938357 -0.88311755952294 1.68837067559139 1.86033916376988 0.989335641560571 0.943071787345943
"Rv0251c" -2.66055112989973 -3.13654434722667 -1.41171649747414 -1.14351385464259 2.53076938183989 3.26632609528651 1.13012642151112 1.42510393060561
"Rv0272c" -0.815333819026194 -1.19392914386005 -0.246711411186856 -0.107497261004804 0.963037599728636 1.04622536315761 0.464258968906068 -0.110050296714407
"Rv0273c" -0.814472895357012 -0.870996936871952 -0.355345248337186 -0.0457245909645998 1.14330953455245 0.542160297676512 0.153316496040858 0.247753343260928
"Rv0275c" -2.25078187462389 -2.44883648468776 -1.79953062394224 -1.6108518769466 2.52528265577672 2.17433570353492 1.82412421938291 1.58625828150593
"Rv0300" -0.453621638542508 -0.676323417618176 -0.390746394301145 -0.055323358906989 0.392928070337899 0.737016985822785 0.290952934518651 0.155116818689485
"Rv0307c" -1.25776085095594 -1.48139545496331 -0.405324666457864 -0.746997118953729 1.83334225718481 0.905814048734443 0.780475636768441 0.371846148643152
"Rv0322" -1.06214411843416 -1.32414138616032 -0.713811179245527 -0.632978833322059 1.08455435079591 1.30173115379858 0.985904566945292 0.360885445622293
"Rv0340" -1.1880202771994 -1.37236054071204 -0.971772961125824 -0.731011874180267 1.30983314213952 1.25054767577192 1.16798729072527 0.534797544580822
"Rv0341" -2.74092109797935 -2.50222034433772 -2.47007441663219 -1.68903059811044 2.64963091642625 2.59351052589083 1.89767014117662 2.261434873566
"Rv0342" -1.59535432023562 -1.87179267911315 -1.33612695956631 -1.10193327044014 1.9016278877549 1.56551911159386 1.17793778775617 1.26012244225028
"Rv0347" -0.64470742617686 -1.11322284825903 -0.599971910747904 -0.13954927737276 1.18581310009848 0.57211717433741 0.506498546290947 0.233022641829717
"Rv0348" -0.955561036762923 -1.47226545500939 -0.412440792366959 -0.486322537246635 1.09118032216911 1.3366461696032 0.881799752997066 0.0169635766165288
"Rv0350" -1.04281636889392 -1.59353726705376 -1.00911580761784 -0.857883656506734 1.24342351500417 1.39293012094351 1.08855805200503 0.778441412119548
"Rv0376c" -1.51551090116749 -1.21369418243419 -0.767883899032284 -0.542818208147696 1.70999957105334 1.01920551254835 0.630392785089514 0.680309322090466
"Rv0383c" -0.685404617744639 -0.857074753140628 -0.61326566136994 -0.263613113014569 0.689112234165753 0.853367136719514 0.44143173658383 0.435447037800678
"Rv0384c" -1.36125223133156 -1.26709964074067 -0.83491715194793 -0.402945933752184 0.724451934575344 1.90389993749688 0.492827786473518 0.745035299226598
"Rv0415" -0.913416691101595 -0.864416930171801 -0.564644315426675 -0.262117231339351 0.738899942933223 1.03893367834017 0.350818922946075 0.475942623819951
"Rv0440" -0.993898284100887 -1.48734088346746 -0.510380381038312 -0.424939383022117 0.570138425154029 1.91110074241432 0.488760346667258 0.446559417393173
"Rv0451c" -1.02146177281316 -1.43262337335636 -0.435149490139096 -0.0728207917791659 1.1264692264929 1.32761591967662 0.514729381537802 -0.00675909961953902
"Rv0467" -1.38587924552188 -1.56236916316427 -1.02520203996984 -0.584581744566271 0.990646680166436 1.9576017285197 0.864653224514523 0.745130560021585
"Rv0468" -0.494265998491526 -1.00561653217715 -0.218033043624207 -0.0797384357458277 0.778957423722952 0.720925106945724 0.155567785098613 0.14220369427142
"Rv0473" -0.676132235393244 -0.96236973484227 -0.506267338224815 -0.323614160954763 0.971388107073784 0.667113863161728 0.532260475019987 0.297621024159591
"Rv0476" -1.34930079454287 -1.38272243873345 -1.20887648822098 -0.69649234835284 1.5274034032062 1.20461983007012 0.913430480385877 0.991938356187946
"Rv0477" -1.24045776780905 -1.34846733734515 -0.994838004051029 -0.824988242597918 1.27863382118266 1.31029128397154 1.05792301586288 0.761903230786063
"Rv0478" -1.06468058396051 -1.21433124076638 -0.870761096596955 -0.618270265587769 1.09680054479569 1.18221127993119 0.68603179233212 0.802999569852607
