Edge1-Edge2	KappaScore
GO:0006826 (term-term) GO:0000041	0.7589285714285712
GO:0006826 (term-term-ontology) GO:0000041	2.0
GO:0006873 (term-term) GO:0000041	0.4374999999999997
GO:0006873 (term-term) GO:0006826	0.5320877335499588
GO:0006879 (term-term) GO:0000041	0.46428571428571364
GO:0006879 (term-term) GO:0006826	0.5670103092783504
GO:0006879 (term-term) GO:0006873	0.956204379562044
GO:0009267 (term-term) GO:0006873	0.6934306569343064
GO:0009267 (term-term) GO:0006879	0.7272727272727273
GO:0010038 (term-term) GO:0010035	0.7099373321396599
GO:0010038 (term-term-ontology) GO:0010035	2.0
GO:0010043 (term-term-ontology) GO:0010038	2.0
GO:0010106 (term-term) GO:0006826	0.40186915887850616
GO:0010106 (term-term) GO:0006873	0.8036809815950918
GO:0010106 (term-term) GO:0006879	0.8461538461538458
GO:0010106 (term-term) GO:0009267	0.8461538461538458
GO:0010106 (term-term-ontology) GO:0006879	2.0
GO:0010106 (term-term-ontology) GO:0009267	2.0
GO:0010468 (term-term) GO:0006355	0.8461538461538461
GO:0010468 (term-term) GO:0009892	0.41605839416058404
GO:0010468 (term-term-ontology) GO:0006355	2.0
GO:0010558 (term-term) GO:0009892	0.8514698298091798
GO:0019222 (term-term) GO:0006355	0.8151260504201682
GO:0019222 (term-term) GO:0009892	0.4329220267786822
GO:0019222 (term-term) GO:0010468	0.9680638722554892
GO:0019222 (term-term-ontology) GO:0009892	2.0
GO:0019290 (term-term) GO:0019184	0.8926174496644298
GO:0019290 (term-term-ontology) GO:0019184	2.0
GO:0019438 (term-term) GO:0006355	0.5652173913043477
GO:0019438 (term-term) GO:0010468	0.4408602150537636
GO:0019438 (term-term) GO:0019222	0.41358760429082236
GO:0019540 (term-term) GO:0019184	0.7637407711238728
GO:0019540 (term-term) GO:0019290	0.8677685950413229
GO:0019540 (term-term-ontology) GO:0019290	2.0
GO:0019725 (term-term) GO:0006826	0.40229885057471243
GO:0019725 (term-term) GO:0006873	0.8198198198198199
GO:0019725 (term-term) GO:0006879	0.7777777777777781
GO:0019725 (term-term) GO:0009267	0.5555555555555556
GO:0019725 (term-term) GO:0010106	0.6363636363636364
GO:0031324 (term-term) GO:0009892	0.9297218155197654
GO:0031324 (term-term) GO:0010558	0.9209225700164747
GO:0031324 (term-term-ontology) GO:0009892	2.0
GO:0033214 (term-term) GO:0000041	0.5312500000000001
GO:0033214 (term-term) GO:0006826	0.7433155080213912
GO:0033214 (term-term) GO:0010106	0.4838709677419357
GO:0033554 (term-term) GO:0009267	0.565217391304348
GO:0033554 (term-term) GO:0010106	0.4482758620689655
GO:0033554 (term-term-ontology) GO:0009267	2.0
GO:0034755 (term-term) GO:0000041	0.5312500000000001
GO:0034755 (term-term) GO:0006826	0.7433155080213912
GO:0034755 (term-term) GO:0033214	0.6595744680851053
GO:0034755 (term-term-ontology) GO:0006826	2.0
GO:0042592 (term-term) GO:0006873	0.7618147448015125
GO:0042592 (term-term) GO:0006879	0.7209302325581398
GO:0042592 (term-term) GO:0009267	0.511627906976744
GO:0042592 (term-term) GO:0010106	0.5849056603773586
GO:0042592 (term-term) GO:0019725	0.9393939393939396
GO:0042592 (term-term-ontology) GO:0019725	2.0
GO:0044550 (term-term) GO:0019184	0.9527559055118112
GO:0044550 (term-term) GO:0019290	0.8461538461538458
GO:0044550 (term-term) GO:0019540	0.7196261682242994
GO:0044550 (term-term-ontology) GO:0019290	2.0
GO:0045892 (term-term) GO:0001217	0.4092307692307688
GO:0045892 (term-term) GO:0009892	0.7638053581191906
GO:0045892 (term-term) GO:0010558	0.9091482649842274
GO:0045892 (term-term) GO:0031324	0.831282952548331
GO:0045892 (term-term-ontology) GO:0001217	2.0
GO:0045892 (term-term-ontology) GO:0006355	2.0
GO:0046189 (term-term) GO:0019184	0.7187500000000001
GO:0046189 (term-term) GO:0019290	0.8125000000000008
GO:0046189 (term-term) GO:0019540	0.9296875000000002
GO:0046189 (term-term) GO:0044550	0.6785714285714289
GO:0046189 (term-term-ontology) GO:0019438	2.0
GO:0046686 (term-term-ontology) GO:0010038	2.0
GO:0046688 (term-term) GO:0010035	0.44157187176835594
GO:0046688 (term-term) GO:0010038	0.6797627872498149
GO:0046688 (term-term-ontology) GO:0010038	2.0
GO:0051172 (term-term) GO:0009892	0.8916750250752254
GO:0051172 (term-term) GO:0010558	0.9591373439273554
GO:0051172 (term-term) GO:0031324	0.9616613418530353
GO:0051172 (term-term) GO:0045892	0.868772782503038
GO:0051172 (term-term-ontology) GO:0009892	2.0
GO:0051253 (term-term) GO:0006355	0.4285714285714286
GO:0051253 (term-term) GO:0009892	0.8089171974522295
GO:0051253 (term-term) GO:0010558	0.8686131386861319
GO:0051253 (term-term) GO:0031324	0.8775510204081636
GO:0051253 (term-term) GO:0045892	0.9527559055118112
GO:0051253 (term-term) GO:0051172	0.9154929577464792
GO:0055076 (term-term) GO:0000041	0.5108695652173914
GO:0055076 (term-term) GO:0006826	0.500770416024653
GO:0055076 (term-term) GO:0006873	0.8774120317820663
GO:0055076 (term-term) GO:0006879	0.9154929577464792
GO:0055076 (term-term) GO:0009267	0.6619718309859154
GO:0055076 (term-term) GO:0010106	0.7647058823529413
GO:0055076 (term-term) GO:0019725	0.7192982456140354
GO:0055076 (term-term) GO:0042592	0.800738007380074
GO:0075139 (term-term) GO:0006826	0.4267515923566875
GO:0075139 (term-term) GO:0033214	0.560975609756097
GO:0075139 (term-term) GO:0034755	0.560975609756097
GO:0098771 (term-term) GO:0000041	0.48437499999999956
GO:0098771 (term-term) GO:0006826	0.47252747252747257
GO:0098771 (term-term) GO:0006873	0.9209225700164747
GO:0098771 (term-term) GO:0006879	0.8775510204081636
GO:0098771 (term-term) GO:0009267	0.6326530612244897
GO:0098771 (term-term) GO:0010106	0.7288135593220342
GO:0098771 (term-term) GO:0019725	0.7606837606837609
GO:0098771 (term-term) GO:0042592	0.8378378378378378
GO:0098771 (term-term) GO:0055076	0.9616613418530353
GO:1901615 (term-term) GO:0046189	0.4375
GO:1901617 (term-term) GO:0019184	0.5188335358444714
GO:1901617 (term-term) GO:0019290	0.5764705882352947
GO:1901617 (term-term) GO:0019540	0.6435643564356439
GO:1901617 (term-term) GO:0044550	0.49295774647887336
GO:1901617 (term-term) GO:0046189	0.7065217391304351
GO:1901617 (term-term) GO:1901615	0.677786818551668
GO:1901617 (term-term-ontology) GO:0046189	2.0
GO:1901617 (term-term-ontology) GO:1901615	2.0
GO:1901700 (term-term) GO:0010035	0.45210384959713523
GO:1901701 (term-term) GO:1901700	0.6093023255813949
GO:1901701 (term-term-ontology) GO:1901700	2.0
