"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 1320.59024680424 -0.0170985888563528 0.286956549112166 -0.0110427794765114 0.230627124491509 -0.0595859857851484 0.952485380258746 0.979878759268826
"Rv0002" "Rv0002" "dnaN" 576.142336530065 0.117684974862015 0.276171273101795 0.077952336868439 0.225626390583692 0.42613039922743 0.670012830171459 0.837033010201384
"Rv0003" "Rv0003" "recF" 277.188681019832 -0.368244554276993 0.317795180659299 -0.232319881255408 0.261664163359471 -1.15874807639635 0.246558887910307 0.48468980403461
"Rv0004" "Rv0004" "." 275.530062917067 0.128497133940831 0.321312015258184 0.077914157957994 0.251334207678317 0.399913877598321 0.689219950489779 0.848789825318903
"Rv0005" "Rv0005" "gyrB" 12197.1035057647 -0.276912031675342 0.265471752704998 -0.190676052267685 0.224888906808202 -1.04309414788494 0.296904690811306 0.540949247417421
"Rv0006" "Rv0006" "gyrA" 7266.05769514185 -0.152976921682884 0.186409607832646 -0.121670297071057 0.167137518082114 -0.82064934024336 0.411846034573846 0.655156135782712
"Rv0007" "Rv0007" "." 959.385004759797 -0.357050998257681 0.320271044152649 -0.223667104658888 0.262218328335971 -1.11484008553549 0.264918955342322 0.506581170612904
"Rv0008c" "Rv0008c" "." 139.097616363871 -0.0768631457303144 0.371753154843628 -0.0422375435911892 0.276003980531342 -0.206758556662809 0.836198423719205 0.928606566243572
"Rv0009" "Rv0009" "ppiA" 1497.85970760366 -1.94253760125636 0.304364036061994 -1.7579111686119 0.308029353775727 -6.38228361796563 1.7446645215044e-10 6.47852092318634e-09
"Rv0010c" "Rv0010c" "." 440.071078076137 -0.477779151193821 0.309728830759033 -0.314124414005778 0.266274007320338 -1.54257241737219 0.122934554703767 0.323857947065821
"Rv0011c" "Rv0011c" "." 523.275599677886 -0.446600267295394 0.457305915294361 -0.220420447586001 0.335438797724012 -0.976589745199172 0.328772297968061 0.574577852880981
"Rv0012" "Rv0012" "." 751.730859805756 -0.89119943395212 0.298493795655483 -0.685171081396386 0.298844805015402 -2.98565480061344 0.00282971875254113 0.0197371617462574
"Rv0013" "Rv0013" "trpG" 512.084119586303 -0.636150182639157 0.267882002384337 -0.475455401401918 0.253572564332106 -2.37474028481561 0.0175613018475572 0.0831974676836275
"Rv0014c" "Rv0014c" "pknB" 1476.26247901892 -0.691051878922484 0.258498506652732 -0.5348367785818 0.250982849338244 -2.67333025583334 0.00751022733763576 0.042438226651365
"Rv0015c" "Rv0015c" "pknA" 1217.94271737461 -1.04389702009976 0.36278066040763 -0.751302314333064 0.361562621823591 -2.87748806379812 0.00400855074953087 0.0264689843404539
"Rv0016c" "Rv0016c" "pbpA" 1076.41639954947 -0.491305839964896 0.221891783823398 -0.384760663628364 0.207606870265539 -2.21416868844465 0.0268171769352599 0.115154375408126
"Rv0017c" "Rv0017c" "rodA" 873.398043958249 -0.775469612821751 0.306994177723778 -0.563420269985101 0.295448131022521 -2.52600755679311 0.0115366999681339 0.0590309621729058
"Rv0018c" "Rv0018c" "pstP" 1740.6800073994 -1.23310450421728 0.23313321456026 -1.12139205812101 0.236274586827272 -5.28926994183642 1.22805537219352e-07 2.7677386683136e-06
"Rv0019c" "Rv0019c" "fhaB" 862.188932924833 -1.1682704355451 0.306179216741739 -0.963318029147436 0.315105484079414 -3.81564251152463 0.000135829034824066 0.00152183162867538
"Rv0020c" "Rv0020c" "fhaA" 5767.37474769621 -0.961344088581645 0.326765328019256 -0.718969022329621 0.327028428335176 -2.94200151040809 0.00326098336460436 0.0223454730027986
"Rv0021c" "Rv0021c" "." 129.524981187562 0.384559590224361 0.389477580307254 0.212136717972928 0.299994342257235 0.987372854481089 0.323459886909458 0.57066520319456
"Rv0022c" "Rv0022c" "whiB5" 6.57818282888772 -0.466068019694665 1.93911079833302 -0.0434261717486802 0.594071376781224 -0.240351412665705 0.810057841321813 0.916638398731052
"Rv0023" "Rv0023" "." 185.384001168359 -1.64937224157817 0.475707199077678 -1.17445359672052 0.486711774301049 -3.46720050647971 0.000525909436303231 0.00496494162747287
"Rv0024" "Rv0024" "." 311.969197290914 0.0569190010874134 0.317300131803949 0.0346560316410078 0.247809618765015 0.17938536855882 0.857635119242877 0.93859399863113
"Rv0025" "Rv0025" "." 161.775727597404 -0.171143302290552 0.368889463772499 -0.0951281725576454 0.277134197782553 -0.463941963916051 0.642689326453967 0.818057787745021
"Rv0026" "Rv0026" "." 300.716245903743 -0.0623899151587114 0.275080792607747 -0.0413025336191534 0.224056709642029 -0.226805785192268 0.820574764993965 0.92217330043884
"Rv0027" "Rv0027" "." 93.8951828143025 -0.0274521159867051 0.439144612082693 -0.0133603328373219 0.306411469293917 -0.0625127013548231 0.950154547504677 0.978772148142863
"Rv0028" "Rv0028" "." 74.1024357133733 -0.419718749107403 0.493573838314262 -0.193461229878355 0.347253716080542 -0.850366685845624 0.395121251771387 0.639171496997774
"Rv0029" "Rv0029" "." 372.635288925686 -0.711540170153941 0.265616888067634 -0.547067489481232 0.258288525651638 -2.6788212727376 0.00738818178154561 0.0420533149872209
"Rv0030" "Rv0030" "." 54.9033755955156 0.0516269567129323 0.494363907266338 0.0229159416399159 0.329548718079328 0.104431079927359 0.916827259303636 0.964573525101154
"Rv0032" "Rv0032" "bioF2" 89.1197452549527 -0.192869780243711 0.495284184792872 -0.086101230633586 0.333487444271661 -0.38941235388804 0.696971134773078 0.854556746691896
"Rv0034" "Rv0034" "." 8.12417248003739 0.486060298959383 1.67682439538876 0.0557373734010518 0.570832234439822 0.289869529746848 0.771916053036014 0.897079192485073
"Rv0035" "Rv0035" "fadD34" 81.1328932520797 -0.294722003033727 0.557309193914728 -0.120218116899589 0.361506340584858 -0.528830326597522 0.596923158055915 0.790078442123786
"Rv0036c" "Rv0036c" "." 434.987817236551 -0.199977260135055 0.27185950883705 -0.134580309601444 0.225471789702391 -0.735590456226856 0.46197997239565 0.699246860392329
"Rv0037c" "Rv0037c" "." 584.033087153753 -0.719564507277825 0.263450063687335 -0.556891302113772 0.257201974177298 -2.73131270953804 0.0063082584550038 0.0373230648195141
"Rv0038" "Rv0038" "." 1105.55780772695 0.441709705070201 0.188693102938452 0.363732266042035 0.178452742205733 2.34088950889889 0.0192378595149659 0.0891895532090988
"Rv0039c" "Rv0039c" "." 82.642169011915 0.0032311458137194 0.656424431860937 0.00112005981224389 0.386480612050009 0.00492234240057036 0.996072554855582 0.998120506651738
"Rv0040c" "Rv0040c" "mtc28" 591.280403288714 0.223558075397972 0.253339396825092 0.156582732457747 0.214887420623069 0.882444965921818 0.377536228372644 0.62347045930747
"Rv0041" "Rv0041" "leuS" 963.094652499266 0.0403801510621066 0.297963728277307 0.0255248319176318 0.237004727676288 0.135520357781689 0.892200469551664 0.956209354255617
"Rv0042c" "Rv0042c" "." 386.43138705863 -0.341878218545682 0.353235705262039 -0.200333973643331 0.278734858504034 -0.967847285687238 0.333120644263026 0.578289132672101
"Rv0043c" "Rv0043c" "." 195.579560538034 -0.651190308201799 0.383443259230584 -0.389628242300339 0.32618173596422 -1.69827032429381 0.0894567529680824 0.260767360498315
"Rv0044c" "Rv0044c" "." 199.113241925822 -0.244760064782204 0.382927981854207 -0.13361662650663 0.287271038265231 -0.639180410888311 0.522705574080853 0.743534853462694
"Rv0045c" "Rv0045c" "." 568.509849366316 -0.2557444415564 0.219656377373856 -0.192428478072635 0.193706710639801 -1.16429326848599 0.244305183604552 0.482379881566795
"Rv0046c" "Rv0046c" "ino1" 2613.27229365528 -0.732131927886573 0.264892448597368 -0.567416793102526 0.259351086425273 -2.76388372625676 0.00571178887481617 0.0347430028438506
"Rv0047c" "Rv0047c" "." 1622.86155652145 -0.317955047201235 0.24422898887411 -0.229958666541639 0.213257847879478 -1.30187267558614 0.19295991462231 0.423144379703255
"Rv0048c" "Rv0048c" "." 133.485540001558 0.691757810463942 0.397018490900027 0.408370740156717 0.338258130851061 1.74238184447216 0.0814416506496229 0.245928917457632
"Rv0049" "Rv0049" "." 654.985310837479 1.06263901268318 0.267636226889122 0.903133628216466 0.275523777950797 3.97046029618186 7.1733910004401e-05 0.000876772774630594
"Rv0050" "Rv0050" "ponA1" 2992.89274197397 0.890815782449862 0.223931910772288 0.772732377099746 0.229421680082446 3.97806538325712 6.94782685402885e-05 0.000854560785610678
"Rv0051" "Rv0051" "." 578.752001997281 0.511068586750523 0.318763196633333 0.333018779697023 0.274817688919879 1.6032860510506 0.108871514681483 0.301056762938369
"Rv0052" "Rv0052" "." 192.257149798242 0.403369504364717 0.380901925790867 0.226985852655033 0.297494904640713 1.05898520604011 0.28960651726048 0.533384889371096
"Rv0053" "Rv0053" "rpsF" 498.849205379353 -0.317718861471893 0.243913102013228 -0.229923278424967 0.213034170065964 -1.30259038505714 0.192714642074157 0.422844338462093
