RV_number	Gene_name	Iron_up	Iron_down	Enhanced_upregulation_at_Fe-	Enhanced_downregulation_at_Fe-
Rv0115a	.	0	0	0	0
Rv0115	hddA	0	0	0	0
Rv0116c	ldtA	0	0	0	0
Rv0117	oxyS	0	0	0	0
Rv0118c	oxcA	1	0	0	0
Rv0119	fadD7	0	0	0	0
Rv0120c	fusA2	0	0	0	0
Rv0121c	.	0	0	0	0
Rv0122	.	0	0	0	0
Rv0123	.	0	0	0	0
Rv0124	PE_PGRS2	0	0	0	0
Rv0125	pepA	0	0	0	0
Rv0126	treS	0	0	0	0
Rv0127	mak	0	0	0	0
Rv0128	.	0	0	0	0
Rv0129c	fbpC	0	0	0	0
Rv0130	htdZ	0	0	0	0
Rv0131c	fadE1	1	0	1	0
Rv0132c	fgd2	1	0	1	0
Rv0133	.	0	0	0	0
Rv0134	ephF	0	0	0	0
Rv0135c	.	1	0	1	0
Rv0136	cyp138	1	0	1	0
Rv0137c	msrA	0	0	0	0
Rv0138	.	0	0	0	0
Rv0139	.	0	0	0	0
Rv0140	.	1	0	1	0
Rv0141c	.	0	0	0	0
Rv0142	.	0	0	0	0
Rv0143c	.	0	0	0	0
Rv0144	.	1	0	0	0
Rv0145	.	1	0	0	0
Rv0146	.	0	0	0	0
Rv0147	.	0	0	0	0
Rv0148	.	0	0	0	0
Rv0149	.	0	0	0	0
Rv0150c	.	0	0	0	0
Rv0151c	PE1	0	0	0	0
Rv0152c	PE2	0	0	0	0
Rv0153c	ptbB	0	0	0	0
Rv0154c	fadE2	0	0	0	0
Rv0155	pntAa	0	0	0	0
Rv0156	pntAb	0	0	0	0
Rv0157	pntB	0	0	0	0
Rv0157A	.	0	0	0	0
Rv0158	.	0	0	0	0
Rv0159c	PE3	0	0	0	0
Rv0160c	PE4	0	0	1	0
Rv0161	.	0	0	0	0
Rv0162c	adhE1	0	0	0	0
Rv0163	.	0	0	0	0
Rv0164	TB18.5	0	0	0	0
Rv0165c	mce1R	0	0	0	0
Rv0166	fadD5	0	0	0	0
Rv0167	yrbE1A	0	0	0	1
Rv0168	yrbE1B	0	0	0	0
Rv0169	mce1A	0	0	0	0
Rv0170	mce1B	0	1	0	1
Rv0171	mce1C	0	1	0	1
Rv0172	mce1D	0	1	0	1
Rv0173	lprK	0	1	0	1
Rv0174	mce1F	0	1	0	1
Rv0175	.	0	1	0	1
Rv0176	.	0	1	0	1
Rv0177	.	0	0	0	0
Rv0178	.	0	0	0	1
Rv0179c	lprO	1	0	0	0
Rv0180c	.	0	0	0	0
Rv0181c	.	0	0	0	0
Rv0182c	sigG	1	0	0	0
Rv0183	.	0	0	0	0
Rv0184	.	0	0	0	0
Rv0185	.	0	0	0	0
Rv0186A	mymT	1	0	1	0
Rv0186	bglS	0	0	0	0
Rv0187	.	0	0	0	0
Rv0188	.	0	0	0	0
Rv0189c	ilvD	0	0	0	0
Rv0190	.	1	0	1	0
Rv0191	.	1	0	0	0
Rv0192	.	0	0	0	0
Rv0193c	.	0	0	0	0
Rv0194	.	0	0	0	0
Rv0195	.	0	0	0	0
Rv0196	.	0	0	0	0
Rv0197	.	0	0	0	0
Rv0198c	zmp1	0	0	0	0
Rv0199	.	0	0	0	0
Rv0200	.	0	1	0	1
Rv0201c	.	0	0	0	0
Rv0202c	mmpL11	0	0	0	0
Rv0203	.	0	0	0	0
Rv0204c	.	0	0	0	0
Rv0205	.	0	0	0	0
Rv0206c	mmpL3	1	0	0	0
Rv0207c	.	1	0	1	0
Rv0208c	.	1	0	1	0
Rv0209	.	0	0	0	0
Rv0210	.	0	0	0	0
Rv0211	pckA	1	0	0	0
Rv0212c	nadR	0	0	0	0
Rv0213c	.	0	0	0	0
Rv0214	fadD4	0	0	0	0
Rv0216	.	0	0	0	0
Rv0217c	lipW	0	1	0	0
Rv0218	.	0	0	0	0
Rv0219	.	0	0	0	0
Rv0220	lipC	0	1	0	0
Rv0221	.	0	0	0	1
Rv0222	echA1	0	0	0	0
Rv0223c	.	0	0	0	0
Rv0224c	.	0	0	0	0
Rv0225	.	0	0	0	0
Rv0226c	.	0	0	0	0
Rv0227c	.	0	0	0	0
Rv0228	.	0	1	0	1
Rv0229c	.	0	0	0	0
Rv0230c	php	0	0	0	0
Rv0231	fadE4	0	0	0	0
Rv0232	.	1	0	1	0
Rv0233	nrdB	1	0	1	0
Rv0234c	gabD1	0	1	0	0
Rv0235c	.	0	1	0	1
Rv0236A	.	0	0	0	0
Rv0236c	aftD	0	0	0	0
Rv0237	lpqI	0	0	0	0
Rv0238	.	0	0	0	0
Rv0239	vapB24	0	0	0	0
Rv0240	vapC24	0	0	0	0
Rv0241c	htdX	0	0	0	0
Rv0242c	fabG4	0	0	0	0
Rv0243	fadA2	0	0	0	0
Rv0244c	fadE5	1	0	0	0
Rv0245	.	0	0	0	0
Rv0246	.	0	0	0	0
Rv0247c	.	0	0	0	0
Rv0248c	.	0	0	0	0
Rv0249c	.	0	0	0	0
Rv0250c	.	1	0	0	0
Rv0251c	hsp	1	0	1	0
Rv0252	nirB	0	0	0	0
Rv0253	nirD	0	0	0	0
Rv0254c	cobU	0	0	0	0
Rv0255c	cobQ1	0	0	0	0
Rv0256c	PPE2	0	0	0	0
Rv0257	.	0	0	0	0
Rv0258c	.	0	0	0	0
Rv0259c	.	0	0	0	0
Rv0260c	.	0	0	0	0
Rv0261c	narK3	0	0	0	0
Rv0262c	aac	0	0	0	0
Rv0263c	.	0	0	0	0
Rv0264c	.	0	0	0	0
Rv0265c	.	0	0	0	0
Rv0266c	oplA	0	0	0	0
Rv0267	narU	0	0	0	0
Rv0268c	.	0	0	0	0
Rv0269c	.	0	0	0	0
Rv0270	fadD2	0	0	0	0
Rv0271c	fadE6	1	0	0	0
Rv0272c	.	1	0	1	0
Rv0273c	.	1	0	1	0
Rv0274	.	0	0	0	0
Rv0275c	.	1	0	1	0
Rv0276	.	1	0	0	0
Rv0277c	vapC25	0	0	0	0
Rv0278c	.	0	0	0	0
Rv0279c	PE_PGRS4	0	0	0	0
Rv0280	PPE3	0	1	0	0
Rv0281	.	0	0	0	0
Rv0282	eccA3	1	0	0	0
Rv0283	eccB3	1	0	0	0
Rv0284	eccC3	1	0	0	0
Rv0285	PE5	1	0	0	0
