RV_number	Gene_name	Iron_up	Iron_down	Enhanced_upregulation_at_Fe-	Enhanced_downregulation_at_Fe-
Rv0714	rplN	0	0	0	0
Rv0715	rplX	0	0	0	0
Rv0716	rplE	0	0	0	0
Rv0717	rpsN1	0	0	0	0
Rv0718	rpsH	0	0	0	0
Rv0719	rplF	0	0	0	0
Rv0720	rplR	0	0	0	0
Rv0721	rpsE	0	0	0	0
Rv0722	rpmD	0	0	0	0
Rv0723	rplO	0	0	0	0
Rv0724	sppA	0	0	0	0
Rv0725c	.	0	0	0	0
Rv0726c	.	0	0	0	0
Rv0727c	fucA	0	0	0	0
Rv0728c	serA2	0	0	0	0
Rv0729	xylB	0	0	0	0
Rv0730	.	0	0	0	0
Rv0731c	.	0	0	0	0
Rv0732	secY	0	1	0	0
Rv0733	adk	0	0	0	0
Rv0734	mapA	0	0	0	0
Rv0735	sigL	0	0	0	0
Rv0736	rslA	0	0	0	0
Rv0737	.	0	0	0	0
Rv0738	.	0	0	0	0
Rv0739	.	0	0	0	0
Rv0740	.	0	0	0	0
Rv0742	.	0	0	0	0
Rv0743c	.	0	0	0	0
Rv0744c	.	0	0	0	0
Rv0745	.	0	0	0	0
Rv0746	PE_PGRS9	0	0	0	0
Rv0747	PE_PGRS10	0	0	0	0
Rv0748	vapB31	0	0	0	0
Rv0749	vapC31	0	0	0	0
Rv0749A	.	0	0	0	0
Rv0750	.	0	0	0	0
Rv0751c	mmsB	0	1	0	0
Rv0752c	fadE9	0	0	0	0
Rv0753c	mmsA	0	0	0	0
Rv0754	PE_PGRS11	1	0	1	0
Rv0755c	PPE12	0	0	0	0
Rv0756c	.	1	0	0	0
Rv0757	phoP	0	0	0	0
Rv0758	phoR	0	0	0	0
Rv0759c	.	0	0	0	0
Rv0760c	.	1	0	0	0
Rv0761c	adhB	1	0	0	0
Rv0762c	.	1	0	1	0
Rv0763c	.	0	0	0	0
Rv0764c	cyp51	1	0	1	0
Rv0765c	.	1	0	1	0
Rv0766c	cyp123	1	0	1	0
Rv0767c	.	1	0	1	0
Rv0768	aldA	1	0	1	0
Rv0769	.	1	0	1	0
Rv0770	.	1	0	0	0
Rv0771	.	0	0	0	0
Rv0772	purD	0	0	0	0
Rv0773c	ggtA	0	0	0	0
Rv0774c	.	0	0	0	0
Rv0775	.	0	0	0	0
Rv0776c	.	0	0	0	0
Rv0777	purB	1	0	0	0
Rv0778	cyp126	0	0	0	0
Rv0779c	.	0	0	0	0
Rv0780	purC	0	0	0	0
Rv0783c	emrB	0	1	0	1
Rv0784	.	0	0	0	0
Rv0785	.	0	0	0	0
Rv0786c	.	0	0	0	0
Rv0787	.	0	0	0	0
Rv0787A	.	0	0	0	0
Rv0788	purQ	0	0	0	0
Rv0789c	.	1	0	1	0
Rv0790c	.	1	0	1	0
Rv0791c	.	1	0	1	0
Rv0792c	.	1	0	1	0
Rv0793	.	1	0	0	0
Rv0794c	.	0	0	0	0
Rv0798c	cfp29	0	0	0	0
Rv0799c	.	0	0	0	0
Rv0800	pepC	0	0	0	0
Rv0801	.	0	0	0	0
Rv0802c	.	0	0	0	0
Rv0803	purL	0	1	0	0
Rv0804	.	0	0	0	0
Rv0805	.	0	0	0	0
Rv0806c	cpsY	0	0	0	0
Rv0807	.	0	0	0	0
Rv0808	purF	0	0	0	0
Rv0809	purM	0	0	0	0
Rv0810c	.	0	0	0	0
Rv0811c	.	0	0	0	0
Rv0812	.	0	0	0	0
Rv0813c	.	1	0	1	0
Rv0814c	.	0	0	0	0
Rv0815c	cysA2	0	0	0	0
Rv0816c	thiX	0	0	0	0
Rv0817c	.	0	0	0	0
Rv0818	.	0	1	0	0
Rv0819	mshD	0	0	0	0
Rv0820	phoT	0	0	0	1
Rv0821c	phoY2	1	0	1	0
Rv0822c	.	1	0	0	0
Rv0823c	.	0	0	0	0
Rv0824c	desA1	0	0	0	0
Rv0825c	.	0	0	0	0
Rv0826	.	0	0	0	0
Rv0827c	kmtR	1	0	1	0
Rv0828c	.	0	0	0	0
Rv0830	.	0	0	0	0
Rv0831c	.	0	0	0	0
Rv0832	PE_PGRS12	0	0	0	0
Rv0833	PE_PGRS13	0	0	0	0
Rv0834c	PE_PGRS14	0	0	0	0
Rv0835	lpqQ	0	0	0	0
Rv0836c	.	0	0	0	0
Rv0837c	.	0	0	0	0
Rv0838	lpqR	0	0	0	0
Rv0839	.	0	0	0	0
Rv0840c	pip	0	1	0	0
Rv0841	.	0	0	0	0
Rv0842	.	0	0	0	0
Rv0843	.	0	0	0	0
Rv0844c	narL	0	0	0	1
Rv0845	.	0	0	0	0
Rv0846c	.	1	0	1	0
Rv0847	lpqS	1	0	1	0
Rv0848	cysK2	1	0	1	0
Rv0849	.	1	0	1	0
Rv0851c	.	0	0	0	0
Rv0852	.	0	0	0	0
Rv0853c	pdc	0	0	0	0
Rv0854	.	0	0	0	0
Rv0855	far	0	0	0	0
Rv0856	.	0	0	0	0
Rv0857	.	0	0	0	0
Rv0858c	dapC	0	0	0	0
Rv0859	.	0	0	0	0
Rv0860	fadB	0	0	0	0
Rv0861c	ercc3	0	0	0	0
Rv0862c	.	0	0	0	0
Rv0863	.	0	0	0	0
Rv0864	moaC2	0	1	0	0
Rv0865	mog	0	1	0	0
Rv0866	moaE2	0	0	0	0
Rv0867c	rpfA	0	0	0	0
Rv0868c	moaD2	0	0	0	0
Rv0869c	moaA2	0	0	0	0
Rv0870c	.	0	0	0	0
Rv0871	cspB	0	0	0	0
Rv0872c	PE_PGRS15	0	0	0	0
Rv0873	fadE10	0	0	0	0
Rv0874c	.	1	0	0	0
Rv0875c	.	0	0	0	0
Rv0876c	.	0	0	0	0
Rv0877	.	0	0	0	0
Rv0878c	PPE13	0	0	0	0
Rv0879c	.	0	0	0	0
Rv0880	.	0	0	0	0
Rv0881	.	0	0	0	0
Rv0882	.	0	0	0	0
Rv0883c	.	0	1	0	1
Rv0884c	serC	1	0	0	0
Rv0885	.	1	0	1	0
Rv0886	fprB	1	0	1	0
Rv0887c	.	0	0	0	0
Rv0888	.	0	0	0	0
Rv0889c	citA	0	1	0	0
Rv0890c	.	0	0	0	0
Rv0891c	.	0	0	0	0
Rv0892	.	0	0	0	0
Rv0893c	.	0	0	0	0
Rv0894	.	0	0	0	0
Rv0895	.	0	0	0	0
Rv0896	gltA2	0	1	0	1
Rv0897c	.	0	0	0	0
Rv0898c	.	0	0	0	0
Rv0899	arfA	0	0	0	0
Rv0901	arfC	0	0	0	0
Rv0902c	prrB	0	0	0	0
Rv0903c	prrA	0	0	0	0
Rv0904c	accD3	0	0	0	0
Rv0905	echA6	0	1	0	0
Rv0906	.	0	0	0	0
Rv0907	.	0	0	0	0
Rv0908	ctpE	0	0	0	0
Rv0909	.	0	0	0	0
Rv0910	.	0	0	0	0
Rv0911	.	0	0	0	0
Rv0912	.	0	1	0	1
Rv0913c	.	0	0	0	0
Rv0914c	.	0	0	0	0
Rv0915c	PPE14	0	0	0	0
Rv0916c	PE7	0	0	0	0
Rv0917	betP	0	0	0	0
Rv0918	.	0	0	0	0
Rv0919	.	0	0	0	0
Rv0920c	.	0	0	0	0
Rv0921	.	0	0	0	0
Rv0922	.	0	0	0	0
Rv0923c	.	0	0	0	0
Rv0924c	mntH	0	0	0	0
Rv0925c	.	0	1	0	1
Rv0926c	.	0	0	0	0
Rv0927c	.	0	0	0	0
Rv0928	pstS3	0	1	0	1
Rv0929	pstC2	0	1	0	1
Rv0930	pstA1	0	0	0	0
Rv0931c	pknD	0	1	0	0
Rv0932c	pstS2	0	1	0	0
Rv0933	pstB	0	0	0	0
Rv0934	pstS1	0	0	0	0
Rv0935	pstC1	0	0	0	0
Rv0936	pstA2	0	0	0	0
Rv0937c	mku	0	0	0	0
Rv0938	ligD	0	0	0	0
Rv0939	.	0	0	0	0
Rv0940c	.	0	0	0	0
Rv0941c	.	0	0	0	0
Rv0942	.	0	0	0	0
Rv0944	.	0	0	0	0
Rv0945	.	0	0	0	0
Rv0946c	pgi	0	1	0	0
Rv0948c	.	0	0	0	0
Rv0949	uvrD1	0	0	0	0
Rv0950c	.	0	0	0	0
Rv0951	sucC	0	1	0	0
Rv0952	sucD	0	0	0	0
Rv0953c	.	0	0	0	0
Rv0954	.	0	0	0	0
Rv0955	.	0	0	0	0
Rv0956	purN	0	0	0	0
Rv0957	purH	0	1	0	0
Rv0958	.	0	0	0	0
Rv0959A	vapB9	0	0	0	0
Rv0959	.	1	0	1	0
Rv0960	vapC9	0	0	0	0
Rv0961	.	0	0	0	0
Rv0962c	lprP	0	0	0	0
Rv0963c	.	0	0	0	0
Rv0964c	.	0	0	0	0
Rv0965c	.	0	0	0	0
Rv0966c	.	1	0	1	0
Rv0967	csoR	1	0	1	0
Rv0968	.	1	0	1	0
Rv0969	ctpV	0	0	0	0
Rv0970	.	0	0	0	0
Rv0971c	echA7	0	0	0	0
Rv0972c	fadE12	0	0	0	0
Rv0973c	accA2	0	1	0	1
Rv0974c	accD2	0	0	0	0
Rv0975c	fadE13	0	0	0	0
Rv0976c	.	0	0	0	0
Rv0977	PE_PGRS16	0	0	0	0
Rv0979A	rpmF	0	0	0	0
Rv0979c	.	0	0	0	0
Rv0980c	PE_PGRS18	0	0	0	0
Rv0981	mprA	1	0	1	0
Rv0982	mprB	1	0	1	0
Rv0983	pepD	1	0	1	0
Rv0984	moaB2	1	0	1	0
Rv0985c	mscL	0	0	0	0
Rv0986	.	1	0	1	0
Rv0987	.	0	0	0	0
Rv0988	.	0	0	0	0
Rv0989c	grcC2	1	0	0	0
Rv0990c	.	1	0	1	0
Rv0991c	.	1	0	1	0
Rv0992c	.	0	0	0	0
Rv0993	galU	0	0	0	0
Rv0994	moeA1	0	1	0	1
Rv0995	rimJ	0	0	0	0
Rv0996	.	0	1	0	0
Rv0997	.	0	0	0	0
Rv0997a	.	0	0	0	0
Rv0998	.	0	1	0	0
Rv0999	.	0	0	0	0
Rv1000c	.	0	0	0	0
Rv1001	arcA	0	0	0	0
Rv1002c	.	0	0	0	0
Rv1003	.	0	0	0	0
Rv1004c	.	0	0	0	0
Rv1005c	.	0	0	0	0
Rv1006	.	0	0	0	0
Rv1007c	metS	0	0	0	0
Rv1008	tatD	0	0	0	0
Rv1009	rpfB	0	0	0	0
Rv1010	ksgA	0	0	0	0
Rv1011	ispE	0	0	0	0
Rv1012	.	0	0	0	0
Rv1013	pks16	1	0	0	0
Rv1014c	pth	0	0	0	0
Rv1015c	rplY	0	0	0	0
Rv1016c	lpqT	0	0	0	1
Rv1017c	prsA	0	0	0	0
Rv1018c	glmU	0	0	0	0
Rv1019	.	0	0	0	0
Rv1020	mfd	0	0	0	0
Rv1021	.	0	0	0	0
Rv1022	lpqU	0	0	0	0
Rv1023	eno	0	0	0	0
Rv1024	.	0	0	0	0
Rv1025	.	0	0	0	0
Rv1026	.	0	0	0	0
Rv1027c	kdpE	0	0	0	0
Rv1028c	kdpD	0	0	0	0
Rv1028A	kdpF	0	0	0	0
Rv1029	kdpA	0	0	0	0
Rv1030	kdpB	0	0	0	0
Rv1031	kdpC	0	0	0	0
Rv1032c	trcS	0	0	0	0
Rv1033c	trcR	0	0	0	0
Rv1037c	esxI	0	0	0	0
Rv1038c	esxJ	0	0	0	0
Rv1039c	PPE15	0	0	0	0
Rv1040c	PE8	0	0	0	0
Rv1041c	.	0	0	0	0
Rv1042c	.	0	0	0	0
Rv1043c	.	0	0	0	0
Rv1044	.	1	0	0	0
Rv1045	.	0	0	0	0
Rv1048c	.	1	0	1	0
Rv1049	.	0	0	0	0
Rv1050	.	0	0	0	0
Rv1051c	.	0	0	0	0
Rv1052	.	0	0	0	0
Rv1056	.	0	0	0	0
Rv1057	.	1	0	1	0
Rv1058	fadD14	0	0	0	0
Rv1059	.	0	0	0	0
Rv1060	.	0	0	0	0
Rv1061	.	0	0	0	0
Rv1062	.	0	0	0	0
Rv1063c	.	0	1	0	0
Rv1064c	lpqV	0	0	0	0
Rv1065	.	0	0	0	0
Rv1066	.	0	0	0	0
Rv1067c	PE_PGRS19	0	0	0	0
Rv1068c	PE_PGRS20	0	0	0	0
Rv1069c	.	0	0	0	0
Rv1070c	echA8	0	0	0	0
Rv1071c	echA9	0	0	0	0
Rv1072	.	1	0	1	0
Rv1073	.	1	0	1	0
Rv1074c	fadA3	0	0	0	0
Rv1075c	.	0	0	0	0
Rv1076	lipU	0	0	0	0
Rv1077	cbs	0	0	0	0
Rv1078	.	0	1	0	0
Rv1079	metB	0	0	0	0
Rv1080c	greA	0	0	0	0
Rv1081c	.	0	0	0	0
Rv1082	mca	0	0	0	0
Rv1083	.	0	0	0	0
Rv1084	.	0	0	0	0
Rv1085c	.	0	0	0	0
Rv1086	.	0	0	0	0
Rv1087	PE_PGRS21	0	0	0	0
Rv1088a	.	0	0	0	0
Rv1088	PE9	0	0	0	0
Rv1091	PE_PGRS22	0	0	0	0
Rv1092c	coaA	0	1	0	1
Rv1093	glyA1	0	0	0	0
Rv1094	desA2	0	0	0	0
Rv1095	phoH2	0	0	0	0
Rv1096	.	0	0	0	0
Rv1097c	.	0	0	0	0
Rv1098c	fum	0	1	0	1
Rv1099c	glpX	0	0	0	0
Rv1100	.	0	0	0	0
Rv1101c	.	0	0	0	0
Rv1102c	mazF3	0	0	0	0
Rv1103c	mazE3	0	0	0	0
Rv1106c	.	0	0	0	0
Rv1107c	xseB	0	0	0	0
Rv1108c	xseA	0	0	0	0
Rv1109c	.	0	0	0	0
Rv1110	lytB2	0	0	0	0
Rv1111c	.	0	1	0	0
Rv1112	.	0	0	0	0
Rv1113	vapB32	0	0	0	0
Rv1114	vapC32	0	0	0	0
Rv1115	.	0	0	0	0
Rv1116	.	0	0	0	0
Rv1117	.	0	0	0	0
Rv1118c	.	0	0	0	0
Rv1121	zwf1	0	0	0	0
Rv1122	gnd2	0	1	0	1
Rv1123c	bpoB	0	0	0	0
Rv1124	ephC	0	1	0	0
Rv1125	.	0	0	0	0
Rv1126c	.	0	0	0	0
Rv1127c	ppdK	0	1	0	1
Rv1128c	.	0	0	0	0
Rv1129c	.	0	1	0	1
Rv1130	prpD	0	1	0	1
Rv1131	prpC	0	1	0	1
Rv1132	.	0	1	0	1
Rv1133c	metE	0	1	0	1
Rv1134	.	0	0	0	0
Rv1135c	PPE16	0	0	0	0
Rv1138a	.	0	0	0	0
Rv1138c	.	0	0	0	0
Rv1139c	.	0	0	0	0
Rv1140	.	0	1	0	1
Rv1141c	echA11	0	0	0	0
Rv1142c	echA10	0	0	0	0
Rv1143	mcr	0	0	0	0
Rv1144	.	0	0	0	0
Rv1145	.	0	0	0	0
Rv1146	.	0	0	0	0
Rv1147	.	0	0	0	0
Rv1148c	.	1	0	1	0
Rv1151c	.	0	0	0	0
Rv1152	.	0	0	0	0
Rv1153c	omt	0	0	0	0
Rv1154c	.	1	0	0	0
Rv1155a	.	0	0	0	0
Rv1155	.	0	0	0	0
Rv1156	.	0	0	0	0
Rv1157c	.	0	0	0	0
Rv1158c	.	0	0	0	0
Rv1159A	.	0	0	0	0
Rv1159	pimE	0	0	0	0
Rv1160	mutT2	0	0	0	0
Rv1161	narG	0	0	0	0
Rv1162	narH	0	0	0	0
Rv1163	narJ	0	0	0	0
Rv1164	narI	0	0	0	0
Rv1165	typA	0	0	0	0
Rv1166	lpqW	0	0	0	0
Rv1167c	.	0	0	0	0
Rv1168c	PPE17	0	0	0	0
Rv1169c	lipX	0	0	0	0
Rv1170	mshB	1	0	1	0
Rv1171	.	0	0	0	0
Rv1172c	PE12	0	0	0	0
Rv1173	fbiC	0	0	0	0
Rv1174c	TB8.4	0	0	0	0
Rv1175c	fadH	0	0	0	0
Rv1176c	.	0	0	0	0
Rv1177	fdxC	0	1	0	0
Rv1178	.	0	1	0	1
Rv1179c	.	0	0	0	0
Rv1180	pks3	0	0	0	0
Rv1181	pks4	0	0	0	0
Rv1182	papA3	0	0	0	0
Rv1183	mmpL10	0	1	0	1
Rv1184c	.	0	0	0	0
Rv1185c	fadD21	0	0	0	0
Rv1186c	.	0	0	0	0
Rv1187	rocA	0	0	0	0
Rv1188	.	0	0	0	0
Rv1189	sigI	0	0	0	0
Rv1190	.	0	0	0	0
Rv1191	.	0	0	0	0
Rv1192	.	0	0	0	0
Rv1193	fadD36	0	0	0	0
Rv1194c	.	0	0	0	0
Rv1195	PE13	0	0	0	0
Rv1196	PPE18	0	0	0	0
Rv1197	esxK	0	0	0	0
Rv1198	esxL	1	0	0	0
Rv1199c	.	0	0	0	0
Rv1200	.	0	0	0	0
Rv1201c	dapD	0	1	0	1
Rv1202	dapE	0	0	0	0
Rv1203c	.	0	0	0	0
Rv1204c	.	0	0	0	0
Rv1205	.	0	0	0	0
Rv1206	fadD6	0	0	0	0
Rv1207	folP2	0	0	0	0
Rv1208	gpgS	0	0	0	0
Rv1209	.	0	0	0	0
Rv1210	tagA	0	0	0	0
Rv1211	.	0	1	0	0
Rv1212c	glgA	0	0	0	0
Rv1213	glgC	0	0	0	0
Rv1214c	PE14	0	0	0	0
Rv1215c	.	0	0	0	0
Rv1216c	.	0	0	0	0
Rv1217c	.	0	0	0	0
Rv1218c	.	0	0	0	0
Rv1219c	.	0	0	0	0
Rv1220c	.	0	0	0	0
Rv1221	sigE	1	0	1	0
Rv1222	rseA	1	0	1	0
Rv1223	htrA	1	0	1	0
Rv1224	tatB	0	0	0	0
Rv1225c	.	0	0	0	0
Rv1226c	.	0	1	0	0
Rv1227c	.	0	1	0	0
Rv1228a	.	0	0	0	0
Rv1228	lpqX	0	0	0	0
Rv1229c	mrp	0	0	0	0
Rv1230c	.	0	1	0	0
Rv1231c	.	0	0	0	0
Rv1232c	.	0	0	0	0
Rv1233c	.	0	1	0	1
Rv1234	.	0	0	0	0
Rv1235	lpqY	0	0	0	0
Rv1236	sugA	1	0	0	0
Rv1237	sugB	0	0	0	0
Rv1238	sugC	0	0	0	0
Rv1239c	corA	1	0	1	0
Rv1240	mdh	0	1	0	0
Rv1241	vapB33	0	0	0	0
Rv1242	vapC33	0	0	0	0
Rv1243c	PE_PGRS23	0	0	0	0
Rv1244	lpqZ	0	1	0	1
Rv1245c	.	1	0	0	0
Rv1246c	relE	0	0	0	0
Rv1247c	relB	0	0	0	0
Rv1248c	.	0	0	0	0
Rv1249c	.	0	0	0	0
Rv1250	.	0	1	0	0
Rv1251c	.	0	1	0	1
Rv1252c	lprE	0	0	0	0
Rv1253	deaD	0	0	0	0
Rv1254	.	0	0	0	0
Rv1255c	.	1	0	0	0
Rv1256c	cyp130	0	0	0	0
Rv1257c	.	0	0	0	0
Rv1258c	.	0	0	0	0
Rv1259	udgB	0	0	0	0
Rv1260	.	0	0	0	1
Rv1261c	.	0	0	0	0
Rv1262c	.	0	0	0	0
Rv1263	amiB2	0	0	0	0
Rv1264	.	0	0	0	0
Rv1265	.	1	0	1	0
Rv1266c	pknH	0	1	0	0
Rv1267c	embR	0	0	0	0
Rv1268c	.	0	0	0	0
Rv1269c	.	0	0	0	0
Rv1270c	lprA	0	0	0	0
Rv1271c	.	0	0	0	0
Rv1272c	.	0	0	0	0
Rv1273c	.	0	0	0	0
Rv1274	lprB	0	0	0	0
Rv1275	lprC	0	0	0	0
Rv1276c	.	0	0	0	0
Rv1277	.	1	0	0	0
Rv1278	.	0	0	0	0
Rv1279	.	0	0	0	0
Rv1280c	oppA	0	0	0	0
Rv1281c	oppD	0	0	0	0
Rv1282c	oppC	0	0	0	0
Rv1283c	oppB	0	0	0	0
Rv1284	canA	0	0	0	0
Rv1285	cysD	1	0	1	0
Rv1286	.	0	0	0	0
Rv1287	.	0	0	0	0
Rv1288	.	0	0	0	0
Rv1289	.	0	0	0	0
Rv1290c	.	0	0	0	1
Rv1290A	.	0	0	0	0
Rv1291c	.	0	0	0	0
Rv1292	argS	0	0	0	0
Rv1293	lysA	0	0	0	0
Rv1294	thrA	0	1	0	0
Rv1295	thrC	0	1	0	1
Rv1296	thrB	0	0	0	0
Rv1297	rho	0	1	0	0
Rv1298	rpmE	0	0	0	0
Rv1299	prfA	0	0	0	0
Rv1300	hemK	0	0	0	0
Rv1301	.	0	1	0	1
Rv1302	rfe	1	0	1	0
Rv1303	.	0	0	0	0
Rv1304	atpB	0	0	0	0
Rv1305	atpE	0	0	0	0
Rv1306	atpF	0	0	0	0
Rv1307	atpH	0	0	0	0
Rv1308	atpA	0	0	0	0
Rv1309	atpG	0	0	0	0
Rv1310	atpD	0	0	0	0
Rv1311	atpC	0	0	0	0
Rv1312	.	0	0	0	0
Rv1313c	.	0	0	0	0
Rv1314c	.	0	0	0	0
Rv1315	murA	0	0	0	0
Rv1316c	ogt	1	0	1	0
Rv1317c	alkA	1	0	1	0
Rv1318c	.	0	0	0	0
Rv1319c	.	0	0	0	0
Rv1320c	.	0	0	0	0
Rv1321	.	0	0	0	0
Rv1322A	.	0	0	0	0
Rv1322	.	0	0	0	0
Rv1323	fadA4	0	0	0	0
Rv1324	.	0	1	0	0
Rv1325c	PE_PGRS24	0	0	0	0
Rv1326c	glgB	0	1	0	0
Rv1327c	glgE	0	1	0	0
Rv1328	glgP	0	1	0	1
Rv1329c	dinG	0	0	0	0
Rv1330c	pncB1	0	0	0	0
Rv1331	.	0	0	0	0
Rv1332	.	0	0	0	0
Rv1333	.	0	0	0	0
Rv1334	mec	0	0	0	0
Rv1335	cysO	0	0	0	0
Rv1336	cysM	0	0	0	0
Rv1337	.	1	0	0	0
Rv1338	murI	0	0	0	0
Rv1339	.	0	0	0	0
Rv1340	rphA	0	0	0	0
Rv1341	.	0	0	0	0
Rv1342c	.	1	0	1	0
Rv1343c	lprD	1	0	1	0
Rv1344	mbtL	1	0	0	0
Rv1345	mbtM	1	0	0	0
Rv1346	mbtN	1	0	0	0
Rv1347c	mbtK	1	0	0	0
Rv1348	irtA	1	0	1	0
Rv1349	irtB	1	0	0	0
Rv1350	fabG2	0	0	0	0
Rv1351	.	0	0	0	0
Rv1352	.	0	0	0	0
Rv1353c	.	0	0	0	0
Rv1354c	.	0	0	0	0
Rv1355c	moeY	0	0	0	0
Rv1356c	.	0	0	0	0
Rv1358	.	0	0	0	0
Rv1359	.	0	0	0	0
Rv1360	.	0	1	0	1
Rv1361c	PPE19	0	0	0	0
Rv1362c	.	0	0	0	0
Rv1363c	.	0	0	0	0
Rv1364c	.	0	0	0	0
Rv1365c	rsfA	0	0	0	0
Rv1366	.	0	0	0	0
Rv1366A	.	0	0	0	0
Rv1367c	.	0	0	0	0
Rv1368	lprF	0	0	0	0
Rv1372	.	0	0	0	0
Rv1373	.	0	1	0	0
Rv1374c	.	1	0	0	0
Rv1375	.	1	0	1	0
Rv1376	.	1	0	1	0
Rv1377c	.	1	0	1	0
Rv1378c	.	1	0	1	0
Rv1379	pyrR	0	1	0	0
Rv1380	pyrB	0	1	0	0
Rv1381	pyrC	0	1	0	0
Rv1382	.	0	0	0	0
Rv1383	carA	0	0	0	0
Rv1384	carB	0	0	0	0
Rv1385	pyrF	0	0	0	1
Rv1386	PE15	0	0	0	0
Rv1387	PPE20	0	1	0	0
Rv1388	mihF	0	1	0	0
Rv1389	gmk	0	0	0	0
Rv1390	rpoZ	0	0	0	0
Rv1391	dfp	0	0	0	0
Rv1392	metK	0	0	0	0
Rv1393c	.	0	0	0	0
Rv1394c	cyp132	0	0	0	0
Rv1395	.	0	0	0	0
Rv1396c	PE_PGRS25	0	0	0	0
Rv1397c	vapC10	0	0	0	0
Rv1398c	vapB10	0	0	0	0
Rv1399c	nlhH	0	0	0	0
Rv1400c	lipI	0	0	0	0
Rv1401	.	0	0	0	0
Rv1402	priA	0	0	0	0
Rv1403c	.	1	0	1	0
Rv1404	.	0	0	0	0
Rv1405c	.	1	0	1	0
Rv1406	fmt	0	0	0	0
Rv1407	fmu	0	0	0	0
Rv1408	rpe	0	1	0	1
Rv1409	ribG	0	0	0	0
Rv1410c	.	0	0	0	0
Rv1411c	lprG	0	0	0	0
Rv1412	ribC	0	0	0	0
Rv1413	.	0	0	0	0
Rv1414	.	0	0	0	0
Rv1415	ribA2	0	1	0	0
Rv1416	ribH	0	0	0	0
Rv1417	.	0	1	0	1
Rv1418	lprH	0	0	0	1
Rv1419	.	0	0	0	0
Rv1420	uvrC	0	1	0	0
Rv1421	.	0	1	0	0
Rv1422	.	0	1	0	0
Rv1423	whiA	0	1	0	1
Rv1424c	.	0	0	0	0
Rv1425	.	0	0	0	0
Rv1426c	lipO	0	0	0	1
Rv1427c	fadD12	0	0	0	0
Rv1428c	.	0	0	0	0
Rv1429	.	0	0	0	0
Rv1430	PE16	0	0	0	0
Rv1431	.	0	0	0	0
Rv1432	.	0	0	0	0
Rv1433	.	0	0	0	0
Rv1434	.	0	0	0	0
Rv1435c	.	0	0	0	0
Rv1436	gap	0	1	0	1
Rv1437	pgk	0	1	0	1
Rv1438	tpi	0	1	0	1
Rv1439c	.	0	0	0	0
Rv1440	secG	0	0	0	0
Rv1441c	PE_PGRS26	0	0	0	0
Rv1442	bisC	0	0	0	0
Rv1443c	.	0	0	0	0
Rv1444c	.	0	0	0	0
Rv1445c	devB	0	0	0	0
Rv1446c	opcA	0	0	0	0
Rv1447c	zwf2	0	0	0	0
Rv1448c	tal	0	0	0	0
Rv1449c	tkt	0	0	0	0
Rv1451	.	0	1	0	0
Rv1452c	PE_PGRS28	0	0	0	0
Rv1453	.	0	0	0	0
Rv1454c	qor	0	0	0	0
Rv1455	.	0	0	0	0
Rv1456c	.	0	0	0	0
Rv1457c	.	0	0	0	0
Rv1458c	.	0	0	0	0
Rv1459c	.	0	0	0	0
Rv1460	.	1	0	1	0
Rv1461	.	1	0	0	0
Rv1462	.	1	0	1	0
Rv1463	.	1	0	0	0
Rv1464	csd	1	0	1	0
Rv1465	.	1	0	0	0
Rv1466	.	1	0	0	0
Rv1467c	fadE15	0	0	0	0
Rv1468c	PE_PGRS29	0	0	0	0
Rv1469	ctpD	0	0	0	0
Rv1470	trxA	0	0	0	0
Rv1471	trxB1	1	0	1	0
Rv1472	echA12	0	0	0	0
Rv1473A	.	0	0	0	0
Rv1473	.	0	0	0	0
Rv1474c	.	0	1	0	1
Rv1475c	acn	0	1	0	1
Rv1476	.	0	0	0	0
Rv1477	ripA	1	0	0	0
Rv1478	.	0	0	0	0
Rv1479	moxR1	0	0	0	0
Rv1480	.	0	0	0	0
Rv1481	.	0	0	0	0
Rv1482c	.	0	0	0	0
Rv1483	fabG1	0	0	0	0
Rv1484	inhA	0	1	0	1
Rv1485	hemZ	0	0	0	1
Rv1486c	.	0	0	0	0
Rv1487	.	0	0	0	0
Rv1488	.	0	0	0	0
Rv1489A	.	0	0	0	0
Rv1489	.	0	0	0	0
Rv1490	.	0	0	0	0
Rv1491c	.	0	0	0	0
Rv1492	mutA	0	1	0	0
Rv1493	mutB	0	1	0	0
Rv1494	mazE4	0	0	0	0
Rv1495	mazF4	0	0	0	0
Rv1496	.	0	0	0	0
Rv1497	lipL	0	0	0	0
Rv1498A	.	0	0	0	0
Rv1498c	.	0	0	0	0
Rv1499	.	0	0	0	0
Rv1500	.	0	0	0	0
Rv1501	.	0	0	0	0
Rv1502	.	0	0	0	0
Rv1505c	.	0	0	0	0
Rv1506c	.	0	0	0	0
Rv1507A	.	0	0	0	0
Rv1507c	.	0	0	0	0
Rv1508c	.	0	1	0	1
Rv1508A	.	0	0	0	0
Rv1509	.	0	0	0	0
Rv1510	.	0	0	0	0
Rv1511	gmdA	0	0	0	0
Rv1512	epiA	0	0	0	0
Rv1513	.	0	0	0	0
Rv1514c	.	0	0	0	0
Rv1515c	.	0	0	0	0
Rv1516c	.	0	0	0	0
Rv1517	.	0	0	0	0
Rv1518	.	0	1	0	0
Rv1519	.	1	0	1	0
Rv1520	.	1	0	1	0
Rv1521	fadD25	0	0	0	0
