"C5_Fe_NO_1" "C5_Fe_NO_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"Rvnt25" 38.724978 33.623256 26.978666 23.628874 27.788478 18.48377 33.951127 10.620012
"Rv0025" 125.71521 110.441127 7.303506 6.263752 122.604279 97.058181 11.300917 13.0278
"Rvnt26" 152.806672 230.602744 15.354282 15.892885 138.726183 210.703879 31.182513 37.715394
"Rv0026" 65.608768 65.729205 2.980425 3.143181 62.70365 62.273519 5.773682 4.71948
"Rv0027" 66.672722 60.64572 6.193216 3.698344 67.850598 68.125804 11.556342 7.069989
"Rvnt27" 1.895992 0 0 0 1.731591 1.055802 0 0
"Rv0028" 51.250635 36.286536 5.693461 3.330927 40.378327 38.460873 10.333784 8.360656
"Rvnt28" 0 2.369206 0 2.119051 3.322783 4.051998 3.464724 2.0953
"Rv0029" 69.024108 75.73836 4.484159 4.78427 75.523706 68.954077 14.47737 11.650095
"Rvnt29" 66.385677 59.240975 12.451692 11.814437 68.208083 43.128797 14.048742 7.434008
"Rv0030" 28.350819 24.969998 4.820314 2.613497 26.078811 24.987319 5.179587 6.577971
"Rvnt30" 109.720772 176.922372 54.994972 49.405827 141.468617 170.461436 63.219341 57.348064
"Rvnt31" 186.031006 209.41151 39.978001 27.223923 156.240017 196.775137 39.170625 39.839795
"Rv0032" 13.397604 13.777405 0.26165 0.440097 13.58955 13.529403 0.885629 0.502112
"Rvnt32" 6.454163 14.409967 7.263487 2.148079 10.946976 20.537522 1.170729 2.124002
"Rv0033" 1.52972 1.770922 0 0 1.397079 0.567894 0 0
"Rvnt33" 0 0 0 0 0 0 0 0
"Rv0034" 9.518261 7.673995 0 0.395984 9.313861 5.30034 0 0.391546
"Rvnt34" 0 2.435018 1.052053 1.088957 0.853771 1.041138 0 3.230254
"RVnc0034" 27.596157 28.635807 0.757478 2.352147 25.203308 26.986304 5.982423 1.550522
"Rv0035" 20.124564 17.231101 0.313934 0.51063 18.961896 14.246766 0.758998 0.78031
"RVnc0035" 132.692324 128.986359 34.086506 22.4014 158.508608 128.506212 57.992874 30.456677
"Rvnt35" 1.844047 0 1.037641 4.296159 0 3.080628 9.365828 3.186004
"RVnc0036a" 49380.743352 36401.759353 1215446.03519 892270.492199 41959.409233 28309.882735 955837.042792 825185.341616
"RVnc0036" 782.95539 851.631784 5784.023682 4361.188761 623.121179 650.951693 7078.835071 6649.352825
"Rv0036c" 176.704455 200.917263 6.263383 5.267513 190.212145 183.434039 10.158414 12.320037
"Rvnt36" 7.478633 2.435018 1.052053 0 4.268853 4.164553 0 0
"Rv0037c" 96.596195 105.289719 5.655378 6.031146 100.088183 96.105073 14.11496 18.007568
"Rvnt37" 33.192839 25.617719 9.338769 7.518278 22.736028 26.698779 3.512186 5.310006
"Rv0038" 294.319223 310.242829 50.374147 41.455464 280.204983 276.706862 56.273787 50.792953
"Rvnt38" 75.493772 61.599363 3.070856 1.059526 78.916092 60.779965 2.309816 5.238249
"Rv0039c" 70.595721 116.041182 1.305996 3.15422 99.449553 65.2686 3.438174 3.341642
"Rvnt39" 5.53214 9.606645 3.112923 6.444238 12.631126 8.215009 3.512186 5.310006
"RVnc0040" 334.367287 300.99959 20.36231 19.390459 280.25708 278.084678 24.811892 37.512623
"Rv0040c" 210.147194 236.517719 6.657362 5.042116 241.735121 246.096971 9.343242 9.472641
"Rvnt40" 191.917903 191.115973 30.708564 14.833359 144.541053 178.287897 16.16871 19.905347
"Rvnt41" 15.652954 18.347574 0 0.911685 30.020956 17.433013 0.993758 0.901466
"Rv0041" 100.869032 87.017988 5.127943 3.583454 104.311402 95.904936 8.781269 6.686958
"Rvnt42" 8.510169 14.778038 2.611993 3.604823 19.783925 18.094265 5.894013 6.237731
"Rv0042c" 263.756014 219.035073 5.557254 3.751431 244.121197 209.582632 10.768088 8.284287
"Rv0043c" 95.695983 87.302834 2.473397 1.92012 94.005369 86.078764 7.092863 4.641017
"Rvnt43" 13.830349 17.612182 1.037641 1.07404 13.473202 11.295637 7.024371 0
"Rv0044c" 88.981627 86.080168 3.144248 1.676583 91.781949 78.545044 5.590045 3.998201
"Rvnt44" 1.512533 1.969902 0.851099 0 4.144145 1.684538 0 0
"Rvnt45" 1.547303 5.373832 0 4.506029 12.718238 7.754685 0 3.564418
"Rv0045c" 69.633831 68.017614 13.595757 13.897858 69.626562 70.950615 27.630237 29.990582
"Rv0046c" 280.08295 212.958166 41.098666 39.84162 279.906831 260.737241 134.387758 118.746932
"RVnc0046" 99461.394122 100805.756967 342852.412855 407823.723219 96992.811616 94164.032406 393240.952835 407957.857979
"Rv0047c" 205.393849 177.581391 72.539322 66.131573 204.225698 195.895058 173.602008 136.919921
"RVnc0047" 9.479958 15.638986 0 0 10.678145 9.150286 3.61112 4.367667
"Rv0048c" 35.974806 36.743575 2.699059 2.883858 36.246977 47.217416 3.634641 3.207976
"Rv0049" 285.326123 357.559391 37.324999 41.853823 348.189917 300.39103 32.822817 33.145211
"Rv0050" 429.123765 413.788021 27.331677 20.130468 454.472519 476.81987 25.215205 23.25402
"Rv0051" 126.296921 133.930306 4.185707 2.469079 137.224218 126.094652 4.671784 3.454817
"Rv0052" 132.109264 126.413678 4.029138 3.892442 114.441589 112.841669 3.18214 5.773219
"Rv0053" 275.244549 271.115358 32.27741 29.368158 289.824308 290.058981 78.708361 61.807739
"Rv0054" 310.159324 282.403007 16.985868 21.699942 330.579971 309.085563 38.674248 27.564831
"Rv0055" 131.184028 134.756737 4.455752 4.304583 145.120911 133.755648 15.416888 4.256334
"Rv0056" 304.571012 290.164969 10.396756 8.028388 367.35572 278.126824 18.61943 13.174368
"Rv0057" 216.106717 207.004482 4.643543 6.759043 204.433895 220.721317 7.367516 8.01994
"Rv0058" 322.025681 276.50668 9.147448 5.973707 312.626395 284.227183 6.674268 5.404676
"Rv0059" 193.278967 149.179085 4.153559 1.583937 164.63358 139.215063 2.096499 2.013665
"Rv0060" 305.26807 251.641475 21.601353 17.546706 275.199525 229.486935 13.396495 13.396859
