"C5_Fe_NO_1" "C5_Fe_NO_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"RVnc0047" 30 57 0 0 37 26 9 12
"Rv0048c" 465 547 31 32 513 548 37 36
"Rv0049" 1755 2533 204 221 2345 1659 159 177
"Rv0050" 12987 14423 735 523 15060 12957 601 611
"Rv0051" 3158 3857 93 53 3757 2831 92 75
"Rv0052" 1107 1220 30 28 1050 849 21 42
"Rv0053" 1190 1350 124 109 1372 1126 268 232
"Rv0054" 2281 2392 111 137 2662 2041 224 176
"Rv0055" 497 588 15 14 602 455 46 14
"Rv0056" 2077 2279 63 47 2743 1703 100 78
"Rv0057" 1676 1849 32 45 1736 1537 45 54
"Rv0058" 12559 12420 317 200 13350 9953 205 183
"Rv0059" 1990 1769 38 14 1856 1287 17 18
"Rv0060" 4803 4560 302 237 4741 3242 166 183
"Rv0061c" 5206 5025 322 273 6171 4187 691 652
"Rv0062" 1315 1630 28 39 1630 1330 36 32
"Rv0063" 1344 2002 29 44 1626 1469 57 54
"Rv0063a" 126 219 19 14 164 111 21 10
"Rv0064A" 38 63 38 26 68 38 13 16
"Rv0064" 7874 8496 3467 2589 7266 5690 2023 2025
"Rv0065" 202 250 170 133 258 147 65 73
"Rv0066c" 8654 7595 163 108 8952 6344 637 653
"Rv0067c" 404 469 11 11 424 354 35 41
"Rv0068" 251 276 9 11 309 243 30 27
"Rv0069c" 2004 2084 74 57 2044 1482 117 115
"Rv0070c" 1456 1743 86 48 1783 1388 168 119
"Rv0071" 211 212 17 8 211 170 4 16
"Rv0072" 7297 7421 136 97 6993 5666 314 298
"Rv0073" 5318 6715 57 46 6069 4667 146 124
"Rv0074" 4377 5440 46 30 4954 3961 86 83
"Rv0075" 4165 4655 42 56 4093 3315 98 103
"Rv0076c" 59 78 5 9 64 50 21 18
"Rv0077c" 92 90 11 12 115 78 29 24
"Rv0078B" 124 156 20 14 128 86 19 21
"Rv0078A" 2092 2116 324 196 1791 1383 358 399
"Rv0078" 82 105 6 5 96 67 5 8
"Rv0079" 7968 10087 21664 12830 8298 6695 8015 10129
"Rv0080" 1868 2370 3312 1931 1808 1533 2179 2793
"Rv0081" 314 463 230 162 359 371 176 254
"Rv0082" 455 900 470 313 624 629 256 340
"Rv0083" 1010 2112 803 572 1344 1436 420 651
"Rv0084" 1016 1620 588 409 1169 1247 369 480
"Rv0085" 321 632 190 117 411 404 102 131
"Rv0086" 1261 1879 515 282 1407 1395 294 333
"Rv0087" 456 801 156 85 602 505 78 132
"Rv0088" 2327 2272 310 137 2379 1738 265 308
"Rv0089" 324 394 88 47 352 249 93 103
"Rv0090" 85 106 17 23 95 84 11 30
"Rv0091" 185 177 12 7 177 154 19 14
"Rv0092" 1601 2277 112 58 1836 1584 329 379
"Rv0093c" 710 939 125 87 798 677 102 142
"Rv0094c" 4 1 0 1 1 2 0 0
"Rv0095c" 44 39 20 11 36 31 1 1
"Rv0096" 96 103 2 1 160 108 3 6
"Rv0097" 550 534 24 13 710 484 32 28
"Rv0098" 260 227 11 11 308 188 18 15
"Rv0099" 1721 1626 53 27 2024 1444 80 91
"Rv0100" 33 34 0 0 26 23 1 0
"Rv0101" 8603 10831 51 48 12724 10994 149 164
"Rv0102" 6926 8189 121 119 6979 6064 270 332
"Rv0103c" 4045 4722 131 122 4989 4093 372 399
"Rv0104" 356 395 4 4 327 270 16 18
"Rv0105c" 1 5 0 0 4 3 0 1
"Rv0106" 277 274 11 10 349 286 35 39
"Rv0107c" 7755 11289 363 408 8961 8375 560 665
"Rv0108c" 4658 4091 567 409 4809 2898 830 671
"Rv0109" 301 400 14 14 326 347 17 32
"Rv0110" 1005 1193 6 14 1097 879 32 28
"Rv0111" 2000 2167 16 11 2132 1673 14 31
"Rv0112" 1058 1073 257 217 1086 895 206 187
"Rv0113" 637 597 60 53 650 471 51 40
"Rv0114" 372 365 33 19 310 297 26 23
"Rv0115a" 99 118 20 39 105 80 33 46
"Rv0115" 869 793 39 41 810 517 50 48
"Rv0116c" 1062 973 1004 553 1033 663 1229 1182
"Rv0117" 355 415 43 31 388 282 40 38
"Rv0118c" 2048 2609 44 61 2149 1501 40 47
"Rv0119" 706 1052 12 28 872 739 18 35
"Rv0120c" 3013 3118 176 145 3049 2442 314 345
"Rv0121c" 324 362 23 22 325 300 24 20
"Rv0122" 20 43 22 17 35 28 15 14
"Rv0123" 80 81 70 52 87 61 63 89
"Rv0124" 18 65 4 14 42 59 7 13
"Rv0125" 4471 5091 421 343 5558 3898 493 549
"Rv0126" 4266 4502 178 164 4402 3381 253 249
"Rv0127" 2926 3366 159 145 3054 2322 268 264
"Rv0128" 466 393 25 17 444 343 27 26
"Rv0129c" 11443 14150 295 238 13741 11910 454 432
"Rv0130" 285 286 8 2 334 243 14 9
"Rv0131c" 717 776 151 80 805 624 81 93
"Rv0132c" 163 220 115 61 194 136 23 33
"Rv0133" 2099 2776 39 38 2512 1717 36 46
"Rv0134" 3643 4659 302 251 3853 3154 319 369
"Rv0135c" 1898 1788 1241 868 1961 1363 906 786
"Rv0136" 596 674 716 449 670 600 471 451
"Rv0137c" 872 943 152 90 976 718 161 159
"Rv0138" 450 487 51 41 468 341 56 41
"Rv0139" 2458 2749 46 32 2674 1945 74 65
"Rv0140" 504 531 184 154 572 452 117 102
"Rv0141c" 508 622 64 50 469 411 47 61
"Rv0142" 381 717 62 97 499 396 67 92
"Rv0143c" 3612 4510 199 192 4060 3456 224 268
"Rv0144" 6485 6953 2037 1437 6687 4896 1782 1454
"Rv0145" 8880 10133 1325 1860 9822 7248 1464 1471
"Rv0146" 1540 2166 277 553 1692 1475 364 355
"Rv0147" 5863 6616 538 529 6560 5293 739 734
"Rv0148" 2653 3489 341 232 2919 2289 353 410
"Rv0149" 2375 2752 228 148 2518 1812 224 289
"Rv0150c" 44 51 3 4 39 29 9 6
"Rv0151c" 620 725 28 16 675 456 40 26
"Rv0152c" 264 387 27 9 334 252 38 29
"Rv0153c" 1265 1597 37 30 1379 1186 60 66
"Rv0154c" 1794 2393 107 59 2261 2015 82 101
"Rv0155" 1208 1534 7 15 1442 1058 11 13
"Rv0156" 325 355 3 0 419 285 1 1
"Rv0157" 8509 9076 32 37 9415 7112 54 72
"Rv0157A" 222 265 150 89 221 177 151 113
"Rv0158" 1736 1934 28 16 1902 1396 41 25
"Rv0159c" 201 163 18 11 208 143 20 16
