"C5_Fe_NO_1" "C5_Fe_NO_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"Rv0428c" 438 494 1 3 592 380 2 13
"Rv0429c" 1038 1282 6 5 1255 984 12 11
"Rv0430" 758 867 11 3 826 594 19 13
"Rv0431" 1726 2024 26 16 1888 1245 31 34
"Rv0432" 3717 3969 48 24 3984 2698 120 128
"Rv0433" 4628 4907 61 47 4756 3830 123 125
"Rv0434" 2448 2978 39 24 2482 1915 37 44
"Rv0435c" 4023 5761 60 75 4973 4513 147 196
"Rv0436c" 1399 1787 36 32 1613 1347 85 104
"Rv0437c" 549 975 20 35 797 678 55 52
"Rv0438c" 1097 1457 63 40 1375 1054 80 67
"Rv0439c" 678 729 17 15 875 626 26 25
"Rv0440" 26421 25878 3842 8373 30404 21025 3160 3645
"Rv0441c" 582 743 114 72 626 544 102 112
"Rv0442c" 616 993 142 121 716 702 167 155
"Rv0443" 3334 3187 118 104 3355 2455 232 239
"Rv0444c" 2039 3242 27 36 2561 2285 71 83
"Rv0445c" 1116 1172 27 18 1120 968 56 51
"Rv0446c" 1042 1271 8 11 1284 990 19 24
"Rv0447c" 658 868 29 4 790 619 17 30
"Rv0448c" 44 59 3 0 32 41 3 3
"Rv0449c" 359 414 62 70 328 238 24 19
"Rv0450c" 7338 7578 965 713 6707 5172 278 269
"Rv0451c" 1245 1291 271 268 980 821 98 81
"Rv0452" 216 276 35 28 273 198 44 48
"Rv0453" 129 212 5 9 146 139 15 14
"Rv0455c" 2572 2964 401 201 2701 2247 403 405
"Rv0456c" 212 206 6 12 223 145 13 19
"Rv0456B" 6 1 0 0 3 0 0 0
"Rv0456A" 63 71 10 10 61 31 11 14
"Rv0457c" 565 673 28 20 597 484 45 89
"Rv0458" 1784 2567 99 122 2124 1957 213 287
"Rv0459" 422 576 27 19 514 431 56 60
"Rv0460" 477 472 15 11 528 344 23 33
"Rv0461" 902 947 34 40 1044 685 63 59
"Rv0462" 11908 10306 216 114 13202 8836 508 415
"Rv0463" 413 463 3 3 443 274 19 15
"Rv0464c" 1822 1978 133 121 2018 1475 44 50
"Rv0465c" 674 748 418 334 694 593 42 66
"Rv0466" 3071 2990 74 66 3481 2338 97 115
"Rv0467" 2194 2677 560 942 2503 2214 482 527
"Rv0468" 1501 1452 178 147 1595 1144 107 126
"Rv0469" 2835 3168 122 90 3010 2300 125 145
"Rv0470A" 284 337 29 15 269 228 30 32
"Rv0470c" 6797 6639 458 372 6979 4991 540 497
"Rv0471c" 388 507 66 56 431 391 80 78
"Rv0472c" 3517 3561 370 231 3754 2575 345 307
"Rv0473" 2631 2975 405 282 2981 2205 318 321
"Rv0474" 1767 1904 317 311 1679 1313 658 504
"Rv0475" 4013 5249 394 673 5285 4902 966 1180
"Rv0476" 895 1206 323 222 938 872 212 266
"Rv0477" 1381 1767 389 342 1420 1041 306 296
"Rv0478" 1197 1488 263 240 1225 951 187 241
"Rv0479c" 3911 3804 353 251 4524 3324 412 327
"Rv0480c" 628 953 31 41 678 813 43 51
"Rv0481c" 628 724 48 33 606 556 22 45
"Rv0482" 333 379 17 21 350 247 8 20
"Rv0483" 10075 11734 889 1215 11444 9072 1202 1251
"Rv0484c" 609 925 34 31 754 608 84 74
"Rv0485" 7320 9955 767 1008 7406 7209 835 1047
"Rv0486" 6836 11030 715 665 8514 7660 620 828
"Rv0487" 2164 2872 336 269 2303 1963 204 246
"Rv0488" 211 254 19 24 194 126 17 18
"Rv0489" 2045 2218 80 55 2143 1411 135 117
"Rv0490" 8087 9665 730 447 8766 7329 1503 1683
"Rv0491" 3337 3896 232 154 3539 2889 467 616
"Rv0492A" 15 37 1 3 29 30 1 4
"Rv0492c" 289 640 13 31 416 384 27 29
"Rv0493c" 166 248 7 17 256 214 23 20
"Rv0494" 25 55 11 4 39 27 10 6
"Rv0495c" 3414 4263 198 165 3953 3641 352 421
"Rv0496" 2037 2465 141 106 2407 1908 191 203
"Rv0497" 1154 1864 52 36 1543 1226 68 107
"Rv0498" 885 1349 15 23 1088 998 49 32
"Rv0499" 946 1246 10 11 1094 880 22 20
"Rv0500A" 3339 3417 275 230 3542 2705 329 349
"Rv0500" 1281 1574 20 12 1314 1043 37 38
"Rv0501" 5241 5585 704 748 5696 4063 1447 1445
"Rv0502" 8731 8819 2474 2217 9265 6522 5150 4498
"Rv0503c" 3311 3407 302 208 3416 2564 454 395
"Rv0504c" 1008 1091 12 28 1223 1039 87 89
"Rv0505c" 3003 4427 93 82 3929 3527 288 279
"Rv0506" 1215 1068 39 22 1165 834 52 52
"Rv0507" 5110 5278 124 77 5299 3970 143 172
"Rv0508" 274 259 4 4 254 191 7 8
"Rv0509" 13443 16643 389 394 15601 12680 641 794
"Rv0510" 6975 13553 78 147 8871 9380 178 255
"Rv0511" 17411 27272 324 361 21287 19612 468 669
"Rv0512" 12638 18632 232 183 14168 13665 234 358
"Rv0513" 3955 6100 27 35 4656 4691 62 76
"Rv0514" 1364 1914 6 13 1541 1353 23 22
"Rv0515" 683 1190 60 50 702 913 28 24
"Rv0516c" 696 677 125 91 729 441 199 185
"Rv0517" 1136 1185 50 43 1218 819 90 59
"Rv0518" 539 649 11 15 596 437 24 43
"Rv0519c" 1043 1423 24 20 1154 1122 29 39
"Rv0522" 2016 2136 229 125 1907 1483 240 197
"Rv0523c" 315 300 17 9 336 222 23 29
"Rv0524" 6722 10438 251 158 8333 7091 533 708
"Rv0525" 1211 1958 16 8 1543 1362 60 92
"Rv0526" 2637 4486 25 18 3143 3475 79 133
"Rv0527" 4513 8401 29 25 5509 5759 91 146
"Rv0528" 6148 10372 55 42 8042 9508 178 273
"Rv0529" 3634 5622 43 28 4417 4473 124 119
"Rv0530A" 379 418 279 156 402 283 146 189
"Rv0530" 3367 5475 161 158 4563 4787 177 238
"Rv0531" 407 562 25 15 579 610 18 20
"Rv0532" 444 1123 13 13 721 822 18 36
"Rv0533c" 1016 1323 29 34 1282 1150 45 66
"Rv0534c" 427 568 15 15 464 384 28 30
"Rv0535" 359 446 18 20 344 313 36 21
"Rv0536" 216 413 12 22 263 338 22 29
"Rv0537c" 4413 5697 164 152 5542 4656 299 314
"Rv0538" 911 1555 247 141 1369 1301 121 185
"Rv0539" 211 530 4 7 338 348 11 15
"Rv0540" 182 286 2 7 194 225 6 7
"Rv0541c" 4085 6443 71 76 4610 3880 99 125
"Rv0542c" 2141 3831 47 75 2705 2512 95 149
"Rv0543c" 2549 3248 198 124 2909 2318 205 247
"Rv0544c" 154 255 2 1 212 198 6 4
"Rv0545c" 23482 31207 151 206 27009 23974 561 672
"Rv0546c" 1172 1397 11 8 1236 1041 12 35
"Rv0547c" 1189 1360 44 28 1449 993 56 80
"Rv0548c" 2319 2464 122 77 2578 1876 159 166
"Rv0549c" 400 455 157 131 394 264 83 134
"Rv0550c" 44 49 12 11 48 36 11 8
"Rv0551c" 1316 1344 29 21 1398 1087 40 27
"Rv0552" 894 1259 54 62 1045 992 68 82
"Rv0553" 115 211 2 10 155 141 10 12
"Rv0554" 834 865 16 5 1004 830 31 21
"Rv0555" 3884 5994 97 142 5109 4763 211 245
"Rv0556" 1549 1817 22 23 1626 1531 35 56
"Rv0557" 2896 3414 81 79 3159 2602 130 150
"Rv0558" 2938 3752 139 138 3214 2632 237 316
"Rv0559c" 2261 2480 135 132 2468 1790 273 260
"Rv0560c" 493 695 39 47 551 472 60 62
"Rv0561c" 701 952 13 31 821 777 62 70
"Rv0562" 5433 6290 145 130 6006 4712 244 254
"Rv0563" 2976 3670 691 574 3296 2409 349 360
"Rv0564c" 435 429 32 20 396 307 55 50
"Rv0565c" 547 459 17 10 539 429 14 16
"Rv0566c" 418 379 9 2 425 332 10 9
"Rv0567" 1368 1534 55 46 1612 1354 141 141
"Rv0568" 4022 6043 321 280 5171 4233 471 672
"Rv0569" 1080 1473 4129 2046 1054 1058 2191 3041
"Rv0570" 2088 2829 10528 7028 1985 1697 8752 11264
"Rv0571c" 896 936 1214 921 858 632 2153 2571
"Rv0572c" 623 646 1748 1032 640 441 2643 2804
"Rv0573c" 173 222 250 134 177 120 225 240
"Rv0574c" 372 471 825 694 365 305 1038 1279
"Rv0575c" 820 826 680 466 784 610 321 334
"Rv0576" 1747 2659 341 457 2118 1909 511 599
"Rv0577" 1956 3166 247 387 2392 2502 362 598
"Rv0578c" 3127 6958 233 287 4181 5003 388 538
"Rv0579" 1028 1187 184 136 1017 759 191 190
"Rv0580c" 1493 1511 104 70 1492 997 152 158
"Rv0581" 61 91 7 4 107 47 7 3
"Rv0582" 373 371 32 19 361 289 23 33
"Rv0583c" 449 390 13 6 457 323 21 11
"Rv0584" 1070 1372 38 38 1126 965 101 76
"Rv0585c" 687 765 20 18 769 574 27 36
"Rv0586" 1189 1391 447 612 1355 1007 943 895
"Rv0587" 2021 2418 185 249 2224 1643 393 357
"Rv0588" 1666 1973 121 146 1762 1282 215 221
"Rv0589" 2970 3036 155 175 3110 2414 266 257
"Rv0591" 355 385 18 17 346 285 32 29
"Rv0592" 343 342 12 6 382 262 9 14
"Rv0593" 249 258 7 3 297 211 9 3
"Rv0594" 620 622 40 28 657 525 52 43
"Rv0595c" 277 289 31 22 267 193 39 27
"Rv0596c" 72 105 6 10 93 50 10 7
"Rv0597c" 9455 10029 82 85 10350 7461 223 326
"Rv0598c" 2467 2771 30 28 2525 1993 120 123
"Rv0599c" 142 124 7 11 157 86 4 12
"Rv0600c" 5 5 0 0 5 3 0 1
"Rv0601c" 20 14 0 1 21 12 2 0
"Rv0602c" 38 69 1 0 49 45 5 1
"Rv0603" 4 10 0 2 4 8 3 1
"Rv0604" 295 537 5 6 395 398 22 29
"Rv0605" 2608 2578 231 137 2712 1988 72 97
"Rv0607" 465 437 33 53 445 358 13 30
"Rv0608" 514 630 58 54 573 423 54 62
"Rv0609" 711 796 65 57 787 540 112 90
"Rv0609A" 427 434 51 50 414 307 70 64
"Rv0610c" 1151 1542 69 80 1318 1074 116 110
"Rv0611c" 533 650 49 66 543 418 45 45
"Rv0612" 222 259 150 143 216 143 171 173
"Rv0613c" 3466 6174 76 76 5131 4866 144 231
"Rv0614" 31 29 2 2 36 23 7 5
"Rv0615" 523 709 218 122 592 413 156 157
"Rv0616A" 520 563 66 51 487 426 72 60
"Rv0617" 1521 1629 95 76 1377 1108 121 142
"Rv0620" 23 54 2 0 23 26 0 3
"Rv0621" 360 454 44 34 410 324 45 80
"Rv0622" 171 178 39 17 187 131 22 40
"Rv0623" 147 193 81 90 180 120 140 137
"Rv0624" 268 269 111 127 239 198 151 145
"Rv0625c" 246 453 13 4 338 210 11 16
"Rv0626" 361 425 23 16 393 294 26 41
"Rv0627" 535 651 22 39 565 455 52 70
"Rv0628c" 1047 1713 577 586 1305 1233 549 755
"Rv0629c" 1062 1614 12 11 1277 1111 38 64
"Rv0630c" 825 1442 3 6 1015 900 19 12
"Rv0631c" 481 804 10 9 658 557 21 19
"Rv0632c" 7131 7752 100 62 7385 5771 275 257
"Rv0633c" 1895 2011 47 52 1851 1379 108 97
"Rv0634A" 1805 1821 22 20 1926 1363 66 37
"Rv0634B" 365 424 4 13 347 375 27 23
"Rv0634c" 3406 3496 171 86 3619 2613 211 201
"Rv0635" 1947 2249 34 36 2113 1828 88 73
"Rv0636" 2390 2224 42 36 2522 1508 76 73
"Rv0637" 4099 4094 77 65 4107 2989 116 129
"Rv0638" 5367 6463 850 1145 6076 4506 1297 1399
"Rv0639" 13052 13618 1405 1510 13977 9986 2064 1993
"Rv0640" 6491 6590 521 543 7519 5263 739 665
"Rv0641" 17951 19237 937 848 20962 15433 1305 1332
"Rv0642c" 6330 5606 238 177 6739 4804 410 306
"Rv0643c" 2247 2059 170 113 2521 1787 212 171
"Rv0644c" 1293 1225 87 94 1407 1102 121 90
"Rv0645c" 911 930 70 51 954 704 141 81
"Rv0646c" 1539 2318 15 16 1959 1526 41 55
"Rv0647c" 2438 3192 49 89 3318 2811 122 125
"Rv0648" 207 299 26 34 215 238 36 76
"Rv0649" 1 16 1 1 5 10 1 0
"Rv0650" 14 35 0 4 15 26 0 4
"Rv0651" 2544 3970 89 119 3333 3349 159 182
"Rv0652" 1295 2130 15 51 2157 1669 63 73
"Rv0653c" 146 195 18 28 151 116 30 32
"Rv0654" 844 1037 129 199 1033 886 170 190
"Rv0655" 25921 26805 1204 951 25501 17688 3186 2951
"Rv0656c" 310 349 38 38 313 208 44 38
"Rv0657c" 236 328 17 23 234 167 19 20
"Rv0658c" 1632 1975 66 52 1604 971 133 167
"Rv0659c" 3981 4227 351 272 3848 2800 550 599
"Rv0660c" 1534 2091 195 130 1823 1360 179 230
"Rv0661c" 28 39 0 0 42 23 1 2
"Rv0662c" 35 45 0 0 33 13 0 0
"Rv0663" 4965 5300 134 146 5452 4252 398 421
"Rv0664" 95 100 0 3 101 62 9 1
"Rv0665" 91 121 2 0 86 55 1 9
"Rv0666" 138 127 4 8 121 91 3 6
"Rv0667" 68120 73072 19930 30499 79557 60467 47873 43882
"Rv0668" 77020 85713 4074 4154 85387 65446 5345 5359
"Rv0669c" 1605 1761 13 12 1850 1575 47 36
"Rv0670" 4175 4138 824 595 4169 3132 1292 1227
"Rv0671" 1890 2076 267 195 1599 1272 330 402
"Rv0672" 3003 4115 136 123 3539 3088 192 256
"Rv0673" 937 1575 29 33 1172 1039 58 57
"Rv0674" 550 856 16 22 663 636 43 36
"Rv0675" 693 996 23 22 826 744 33 59
"Rv0676c" 15200 15531 1398 953 13406 10292 7465 7774
"Rv0677c" 3887 3948 275 189 3295 2474 1308 1429
"Rv0678" 2444 2788 2434 1434 1874 1505 1619 1768
"Rv0679c" 686 748 22 26 867 519 76 44
"Rv0680c" 626 643 101 96 688 467 134 108
"Rv0681" 2439 2578 157 168 2672 1921 217 222
"Rv0682" 5851 5189 613 549 6510 4432 1018 907
"Rv0683" 5413 4636 410 392 5979 4008 747 717
"Rv0684" 33960 31400 1778 1566 38862 27286 2704 2476
"Rv0685" 38334 35830 753 668 42300 29180 1192 1281
"Rv0686" 2915 3167 235 143 3275 2308 315 294
"Rv0687" 868 1104 77 43 965 769 78 98
"Rv0688" 1766 2222 80 68 2067 1648 136 128
"Rv0689c" 11 9 0 1 14 11 0 0
"Rv0690c" 4486 6196 71 120 4685 3759 287 247
"Rv0691c" 407 556 18 20 469 393 32 35
"Rv0691A" 86 64 3 0 61 46 2 7
"Rv0692" 1586 1637 44 16 1543 1127 64 56
"Rv0693" 13501 16719 116 143 14125 11470 272 280
"Rv0694" 20206 25320 92 102 20655 16449 205 191
"Rv0695" 7677 10730 39 49 7585 6385 87 71
"Rv0696" 5735 7474 44 28 5394 4546 77 89
"Rv0697" 1846 2179 8 8 1639 1259 25 12
"Rv0698" 948 1182 10 20 1053 814 55 39
"Rv0699" 198 203 0 1 153 128 5 5
"Rv0700" 6206 6246 574 686 7179 5186 1518 1489
"Rv0701" 13197 14467 420 605 15064 10378 1919 1680
"Rv0702" 9227 10694 264 402 11198 7415 1090 1014
"Rv0703" 1960 2232 85 95 2365 1833 318 312
"Rv0704" 10673 10958 244 344 12497 9598 859 806
"Rv0705" 3325 3946 62 86 3712 3344 174 168
"Rv0706" 3068 3658 37 53 3859 2552 113 131
"Rv0707" 5625 7255 70 133 6351 5994 250 312
"Rv0708" 2670 3018 24 32 2728 2355 81 81
"Rv0709" 452 747 7 3 641 494 11 20
"Rv0710" 2295 2855 5 11 2760 2044 36 37
"Rv0711" 4761 4920 808 1921 4713 3534 1119 903
"Rv0712" 2014 2316 108 172 2149 1825 141 177
"Rv0713" 1636 1534 58 42 1763 1153 139 94
"Rv0714" 2097 2371 309 329 2140 1852 667 536
"Rv0715" 1897 2014 94 132 2137 1570 287 216
"Rv0716" 4984 4846 182 261 5854 3670 615 564
"Rv0717" 1167 2011 33 76 1501 1463 129 133
"Rv0718" 3526 3594 95 110 4044 3040 233 217
"Rv0719" 6272 6077 141 167 6925 5242 338 289
"Rv0720" 2045 2551 28 43 2279 2014 90 104
"Rv0721" 7602 9231 63 94 7848 6506 180 254
"Rv0722" 295 400 3 6 289 335 11 11
"Rv0723" 7841 8749 83 68 8679 6388 149 195
"Rv0724" 17608 23466 1824 1315 19185 16320 2757 3218
"Rv0725c" 291 364 27 35 318 261 44 43
"Rv0726c" 1236 1264 50 77 1438 998 116 120
"Rv0727c" 47 44 2 3 39 32 1 6
"Rv0728c" 91 109 6 2 96 91 10 9
"Rv0729" 208 372 29 19 318 307 25 33
"Rv0730" 2020 2344 235 232 2271 1440 309 277
"Rv0731c" 148 229 2 7 197 206 27 23
"Rv0732" 5127 5377 70 56 6068 4743 153 166
"Rv0733" 2134 2551 21 31 2721 2186 44 66
"Rv0734" 2589 3157 41 44 3040 2628 54 72
"Rv0735" 164 200 19 29 178 134 31 31
"Rv0736" 241 301 17 23 269 197 26 23
"Rv0737" 138 150 5 15 120 120 13 7
"Rv0738" 207 363 76 62 270 183 62 87
"Rv0739" 167 169 22 24 178 118 28 23
"Rv0740" 1249 1326 75 36 1343 1069 107 90
"Rv0742" 413 651 13 13 511 432 13 12
"Rv0743c" 261 311 17 22 293 221 20 28
"Rv0744c" 262 304 9 23 319 236 15 23
"Rv0745" 22 15 1 4 12 11 2 4
"Rv0746" 173 531 7 11 314 342 21 38
"Rv0747" 160 614 150 249 253 466 267 557
"Rv0748" 157 240 9 21 186 128 24 20
"Rv0749" 154 178 25 29 151 111 42 43
"Rv0749A" 142 165 43 34 178 109 68 62
"Rv0750" 209 214 130 79 184 159 101 108
"Rv0751c" 576 919 38 43 741 609 110 143
"Rv0752c" 520 779 64 74 614 505 109 133
"Rv0753c" 886 1350 129 210 1039 992 276 305
"Rv0754" 227 363 179 284 283 254 116 157
"Rv0755c" 3003 3573 273 178 3209 2718 271 246
"Rv0756c" 745 1034 169 165 855 630 159 180
"Rv0757" 4034 4135 368 375 4153 3151 456 551
"Rv0758" 3177 3735 410 415 3484 2607 600 658
"Rv0759c" 1212 1051 112 121 1190 801 122 120
"Rv0760c" 1030 843 96 114 1117 769 61 70
"Rv0761c" 4190 3914 243 530 4966 3416 206 251
"Rv0762c" 246 262 186 226 307 209 70 74
"Rv0763c" 28 26 5 9 15 21 3 9
"Rv0764c" 542 629 381 429 613 471 180 191
"Rv0765c" 292 329 365 518 319 273 229 243
"Rv0766c" 236 269 231 365 238 211 115 117
"Rv0767c" 63 87 84 205 78 48 58 75
"Rv0768" 396 414 140 224 478 422 70 96
"Rv0769" 323 346 75 95 410 343 45 46
"Rv0770" 272 256 28 52 269 164 27 21
"Rv0771" 71 72 15 19 95 65 7 17
"Rv0772" 729 858 41 38 834 674 55 75
"Rv0773c" 2470 2642 24 21 2760 2157 44 32
"Rv0774c" 1935 2350 26 33 2406 1740 66 67
"Rv0775" 1000 1338 124 155 1097 841 186 212
"Rv0776c" 128 176 12 5 129 138 7 12
"Rv0777" 3485 4083 305 238 3709 2845 298 309
"Rv0778" 2186 2618 86 43 2225 1817 77 103
"Rv0779c" 53 116 0 5 66 81 7 1
"Rv0780" 608 651 20 11 691 546 21 23
"Rv0783c" 2307 2566 39 32 2421 1923 154 174
"Rv0784" 394 489 13 11 470 316 46 39
"Rv0785" 1789 1832 23 23 1879 1389 51 45
"Rv0786c" 1016 1122 46 14 1062 754 52 49
"Rv0787" 144 195 2 3 177 119 9 10
"Rv0787A" 480 731 20 17 550 638 27 26
"Rv0788" 2550 2845 94 113 2746 2022 191 210
"Rv0789c" 186 165 182 68 142 116 53 53
"Rv0790c" 287 266 104 168 313 217 104 106
"Rv0791c" 309 380 98 250 412 297 120 106
"Rv0792c" 231 263 146 299 274 204 159 127
"Rv0793" 11 23 10 13 11 10 5 1
"Rv0794c" 870 917 32 22 981 838 61 59
"Rv0797" 5 6 0 0 2 4 0 0
"Rv0798c" 3180 2891 25 23 3348 2348 38 52
"Rv0799c" 2375 2233 29 22 2364 1789 66 66
"Rv0800" 867 1226 10 10 1062 945 28 44
"Rv0801" 413 430 15 14 396 295 34 26
"Rv0802c" 298 318 41 31 317 200 39 44
"Rv0803" 5110 7775 55 58 6731 6323 153 180
"Rv0804" 461 748 9 5 589 542 11 23
"Rv0805" 9149 8790 3673 3913 8246 6076 4715 4298
"Rv0806c" 643 624 58 39 601 470 74 81
"Rv0807" 302 383 59 51 339 192 59 75
"Rv0808" 9557 12734 1058 826 10924 9717 1537 1916
"Rv0809" 3142 3533 187 211 3232 2609 357 335
"Rv0810c" 3501 3643 1651 1022 3770 2478 3330 3169
"Rv0811c" 2408 3551 499 309 2662 2418 488 621
"Rv0812" 1132 1375 108 66 1200 910 87 125
"Rv0813c" 1451 1774 254 185 1596 1132 174 214
"Rv0814c" 453 584 20 31 561 277 49 47
"Rv0815c" 673 549 171 164 590 433 208 149
"Rv0816c" 94 137 3 0 104 65 6 1
"Rv0817c" 297 355 18 11 322 267 24 18
"Rv0818" 3705 4644 278 247 4137 3159 605 690
"Rv0819" 2723 3473 112 106 2929 2403 228 276
"Rv0820" 2369 2715 72 47 2560 1952 146 151
"Rv0821c" 5180 5645 2378 1569 5420 3715 1362 1313
"Rv0822c" 15935 20027 817 825 17537 15122 932 996
"Rv0823c" 24981 29840 2112 2286 26175 21257 2877 2901
"Rv0824c" 78378 78839 7566 6224 79259 60794 9794 8915
"Rv0825c" 275 304 61 59 338 233 91 46
"Rv0826" 131 168 26 26 177 74 31 43
"Rv0827c" 452 448 264 178 606 421 131 147
"Rv0828c" 29 33 6 5 24 17 5 7
"Rv0830" 460 424 42 29 436 303 55 41
"Rv0831c" 11960 12000 241 221 11831 8646 542 435
"Rv0832" 606 1001 16 20 753 554 20 40
"Rv0833" 75 290 1 0 116 285 4 6
"Rv0834c" 843 2110 597 948 1337 1699 580 1071
"Rv0835" 773 870 41 22 723 576 41 52
"Rv0836c" 41 68 16 15 47 38 22 19
"Rv0837c" 124 114 12 22 109 95 39 47
"Rv0838" 776 964 36 45 762 667 72 63
"Rv0839" 2129 2728 65 115 1924 1590 125 122
"Rv0840c" 356 338 204 297 329 278 890 834
"Rv0841" 9 7 1 3 3 9 4 5
"Rv0842" 340 410 26 27 381 234 43 58
"Rv0843" 192 228 9 5 192 165 17 10
"Rv0844c" 2006 2368 29 37 2185 1346 98 89
"Rv0845" 736 751 19 10 854 582 32 29
"Rv0846c" 214 242 435 516 198 169 62 57
"Rv0847" 96 130 1110 1043 116 69 83 134
"Rv0848" 203 257 1680 1830 178 160 163 193
"Rv0849" 144 165 414 370 129 85 69 67
"Rv0851c" 439 439 20 16 432 319 44 29
"Rv0852" 411 415 15 24 473 311 30 31
"Rv0853c" 822 1141 114 69 1088 850 97 102
"Rv0854" 322 354 21 10 319 268 31 21
"Rv0855" 653 771 37 21 682 532 48 61
"Rv0856" 1282 1344 73 59 1240 1004 83 79
"Rv0857" 1458 1529 154 67 1425 1028 145 121
"Rv0858c" 636 784 4 7 748 555 16 9
"Rv0859" 6101 8347 422 408 7711 6895 764 873
"Rv0860" 15305 21049 1102 924 18200 15846 1475 1873
"Rv0861c" 4149 4257 76 89 4266 3512 150 162
"Rv0862c" 1897 2607 41 40 2239 1942 68 84
"Rv0863" 456 642 31 31 528 426 33 52
"Rv0864" 4001 4639 249 230 3882 3309 495 553
"Rv0865" 1425 1744 87 80 1490 1095 207 232
"Rv0866" 746 1176 40 41 841 773 93 135
"Rv0867c" 2092 2903 149 183 3028 2559 200 275
"Rv0868c" 774 952 50 43 704 730 85 74
"Rv0869c" 2272 3408 167 241 2720 2486 425 478
"Rv0870c" 1280 1629 299 249 1315 1237 388 372
"Rv0871" 2012 2683 90 125 2429 1944 153 206
"Rv0872c" 2255 5040 703 804 3137 3633 1068 2001
"Rv0873" 7591 8177 415 278 8563 6489 521 488
"Rv0874c" 244 474 373 296 288 228 249 319
"Rv0875c" 1252 1651 78 82 1257 1238 162 257
"Rv0876c" 4918 5877 457 398 5270 4516 725 972
"Rv0877" 3375 4536 533 535 3786 3233 623 785
"Rv0878c" 517 698 13 10 558 512 15 19
"Rv0879c" 642 1022 3 5 786 528 13 24
"Rv0880" 100 95 34 9 114 74 31 15
"Rv0881" 232 286 16 15 232 208 23 22
"Rv0882" 112 110 5 7 84 77 4 2
"Rv0883c" 2901 3416 52 33 3532 2664 123 146
"Rv0884c" 2405 2742 147 147 2891 2244 162 158
"Rv0885" 3933 3979 1580 1182 4368 3713 639 630
"Rv0886" 1499 2126 456 405 2275 1849 229 271
"Rv0887c" 122 174 10 11 127 99 27 21
"Rv0888" 1009 884 144 61 1041 674 123 86
"Rv0889c" 3421 4173 200 142 3714 2838 573 686
"Rv0890c" 2616 2945 15 25 3045 2279 69 46
"Rv0891c" 660 733 16 14 771 619 44 41
"Rv0892" 1511 1446 21 8 1833 1313 36 29
"Rv0893c" 634 633 7 4 649 516 19 13
"Rv0894" 134 171 4 6 167 116 10 8
"Rv0895" 234 247 2 3 272 209 6 4
"Rv0896" 22807 22675 266 156 24762 18532 670 658
"Rv0897c" 2085 2413 187 135 2099 1741 213 248
"Rv0898c" 622 771 149 73 720 524 95 105
"Rv0899" 348 419 26 40 413 306 42 54
"Rv0900" 0 0 0 0 3 3 1 0
"Rv0901" 725 1100 21 35 916 680 74 51
"Rv0902c" 2628 3491 388 282 2939 2482 426 453
"Rv0903c" 4227 4436 590 315 4671 3079 458 525
"Rv0904c" 263 395 9 15 386 306 16 26
"Rv0905" 2087 2212 48 50 2498 1847 129 138
"Rv0906" 2235 2650 127 99 2343 2028 183 200
"Rv0907" 1946 2197 36 19 2024 1706 45 72
"Rv0908" 4133 4636 23 33 4284 3364 56 57
"Rv0909" 144 166 6 13 153 141 15 13
"Rv0910" 1543 1504 108 80 1652 1107 146 155
"Rv0911" 1088 1182 32 27 1123 984 39 70
"Rv0912" 536 644 6 4 587 466 27 27
"Rv0913c" 2834 2784 106 52 2611 2076 124 109
"Rv0914c" 1368 1882 85 56 1619 1357 94 137
"Rv0915c" 161 311 5 21 189 208 10 41
"Rv0916c" 113 153 17 11 117 106 33 28
"Rv0917" 1136 1261 67 57 1291 980 126 112
"Rv0918" 114 191 34 18 142 90 28 28
"Rv0919" 57 63 22 24 54 36 25 25
"Rv0920c" 1271 1165 73 78 1358 975 88 95
"Rv0921" 517 735 18 24 632 602 28 33
"Rv0922" 8034 9983 439 582 9956 9926 818 1120
"Rv0923c" 582 735 25 19 699 625 44 31
"Rv0924c" 508 526 7 2 549 422 11 17
"Rv0925c" 1582 1595 14 12 1688 1171 67 42
"Rv0926c" 1015 955 46 24 1073 845 85 91
"Rv0927c" 556 713 10 14 664 454 43 18
"Rv0928" 2109 1959 26 19 2228 1522 138 147
"Rv0929" 1546 1560 12 6 1661 1270 39 60
"Rv0930" 1106 1055 30 36 1119 833 61 57
"Rv0931c" 37234 43072 678 672 42476 33452 3154 3493
"Rv0932c" 33866 36917 898 779 35203 28388 3269 3074
"Rv0933" 2671 2629 33 49 3083 2304 107 114
"Rv0934" 6386 6575 54 65 7401 5713 117 128
"Rv0935" 6460 7227 20 55 6949 5994 60 100
"Rv0936" 3090 3187 14 23 3125 2503 44 42
"Rv0937c" 2093 2141 76 49 2124 1632 102 93
"Rv0938" 10450 12236 194 172 10515 8917 343 456
"Rv0939" 6893 8327 328 267 7651 5980 377 463
"Rv0940c" 751 750 71 88 758 529 86 107
"Rv0941c" 1390 1406 282 193 1269 883 335 299
"Rv0942" 15 14 1 0 44 15 0 4
"Rv0943c" 15 25 2 1 26 13 6 0
"Rv0944" 70 123 0 1 98 69 2 0
"Rv0945" 1398 2083 12 15 1681 1403 36 47
"Rv0946c" 2534 2576 90 58 2727 1990 225 231
"Rv0948c" 2265 2292 94 84 2265 1630 175 159
